"Role.RoleNames","UniqueUserName","AccountId","UserRoleId","IsActive","Role.ParentRoleId","Role.RolePath","Role.ParentRole.ForecastManager.UniqueUserName","ForecastEnabled","Name","Role.ForecastManager.UniqueUserName","Role.ParentRole.ForecastManager.Name","isDuplicate","Role.DeveloperName","SmallPhotoUrl","FirstName","Role.ParentRole.Name","Role.ForecastManager.ForecastEnabled","Role.ForecastManager.Name","Role.RoleNamesPath","Username","Role.Name","Role.Roles","Id","LastName","Role.ParentRole.DeveloperName","ManagerId"
,"Platform Integration User (integration@00db0000000yyvfmaw.com)",,,"true",,,,"false","Platform Integration User",,,"005B0000006YzV5IAK",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","Platform",,,,,"integration@00db0000000yyvfmaw.com",,,"005B0000006YzV4IAK","Integration User",,
,"Platform Integration User (autoproc@00db0000000yyvfmaw)",,,"true",,,,"false","Platform Integration User",,,"005B0000006YzVBIA0",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,,,,,"autoproc@00db0000000yyvfmaw",,,"005B0000006YzV5IAK","Platform Integration User",,
,"a m",,,"true",,,,"false","a m",,,,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","a",,,,,"userm.dkmxu5r6nzct.03cydahgizug.wj0mmguqzdp0.xhry4edzczbd.tqicaso9jaut@gs0.org",,,"005B0000006YzV6IAK","m",,
,"Service admin",,,"true",,,,"false","Service admin",,,,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","Service",,,,,"servicewaveadmin.2v3twssrkgth.tumpggnw6j9x.u6nrtszcdu.5qcubuwaugst@gs0.org",,,"005B0000006YzV7IAK","admin",,
,"Insights Security",,,"true",,,,"false","Insights Security",,,,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","Insights",,,,,"insightssecurity@00db0000000yyvfmaw.com",,,"005B0000006YzV8IAK","Security",,
,"Blitz Platform Integration User",,,"true",,,,"false","Blitz Platform Integration User",,,,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","Blitz",,,,,"blitz.2144_read.htdb1b7coft3.ggxdlaouym9r.s7kynipqfh0r.e8pitiqhyegn@gs0.org",,,"005B0000006YzVAIA0","Platform Integration User",,
,"Platform Integration User (cloud@00db0000000yyvfmaw)",,,"true",,,,"false","Platform Integration User",,,"005B0000006YzVTIA0",,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T",,,,,,"cloud@00db0000000yyvfmaw",,,"005B0000006YzVBIA0","Platform Integration User",,
,"Sam murph",,,"true",,,,"false","Sam murph",,,,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","Sam",,,,,"adminsmu.zrffbwsexhx5.mq6uk93up5yx.l795iogy1yzp.dt5dm6rnaus0@gs0.org",,,"005B0000006YzVDIA0","murph",,
,"Chatter Platform Integration User",,,"true",,,,"false","Chatter Platform Integration User",,,,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/729B0000000Yjjq/T","Chatter",,,,,"chatty.00db0000000yyvfmaw.mzphlu5jritl@chatter.salesforce.com",,,"005B0000006YzVFIA0","Platform Integration User",,
,"Jon Snow",,,"true",,,,"false","Jon Snow",,,,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","Jon",,,,,"jon.snow.nuwfs5zizr7w.f6laotu4mdhw@gs0.org",,,"005B0000006YzVGIA0","Snow",,"005B0000006bm5AIAQ"
,"Wave Admin",,,"true",,,,"false","Wave Admin",,,,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","Wave",,,,,"saleswaveadmin.7fssykb4hhok.iqnvuwgtgpgf.69r7qxg2lr9d.o3cwvvusx1sj@gs0.org",,,"005B0000006YzVHIA0","Admin",,
,"Indiana Jones",,,"true",,,,"false","Indiana Jones",,,,,"https://jahnavi-gs0--c.documentforce.com/profilephoto/005/T","Indiana",,,,,"ijones.25hyejet59mn.slfdefj22if5.yo4kslworkbt.b8rr2w6.4rzwey6tbacq@gs0.org",,,"005B0000006YzVIIA0","Jones",,
