"Category","Ship_Date","Customer_Name","Product_ID","Segment","Ship_Mode","Order_ID","Sub_Category","Product_Name","City","Order_Date","Customer_ID","State","Country","Region","Row_ID","Discount","Profit_Percent","Sales_Goal","Discount_Goal","Quantity_Percent","Sales","Postal_Code","Profit","Sales_Percent","Quantity_Left","Profit_Goal","Discount_Left","Quantity_Goal","Quantity","Profit_Left","Sales_Left","Discount_Percent"
"Furniture","10/18/15","Sean O'Donnell","FUR-TA-10000577","Consumer","Standard Class","US-2015-108966","Tables","Bretford CR4500 Series Slim Rectangular Table","Fort Lauderdale","10/11/15","SO-20335","Florida","United States","South",4,0.45,56.2,1580.002875,3.663,73,957.5775,33311,-383.031,60.6,1.85,-681.79518,3.213,6.85,5,-298.76418,622.425375,12.3
"Office Supplies","10/18/15","Sean O'Donnell","OFF-ST-10000760","Consumer","Standard Class","US-2015-108966","Storage","Eldon Fold 'N Roll Cart System","Fort Lauderdale","10/11/15","SO-20335","Florida","United States","South",5,0.2,82.6,67.77504,1.38,109.9,22.368,33311,2.5164,33,-0.18,3.044844,1.18,1.82,2,0.528444,45.40704,14.5
"Office Supplies","11/26/15","Harold Pawlan","OFF-AP-10002311","Home Office","Standard Class","US-2015-118983","Appliances","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","Fort Worth","11/22/15","HP-14815","Texas","United States","Central",15,0.8,78.7,187.1632,3.64,105.3,68.81,76106,-123.858,36.8,-0.25,-157.29966,2.84,4.75,5,-33.44166,118.3532,22
"Office Supplies","11/26/15","Harold Pawlan","OFF-BI-10000756","Home Office","Standard Class","US-2015-118983","Binders","Storex DuraTech Recycled Plastic Frosted Binders","Fort Worth","11/22/15","HP-14815","Texas","United States","Central",16,0.8,62.1,9.00576,5.816,84,2.544,76106,-3.816,28.2,0.57,-6.14376,5.016,3.57,3,-2.32776,6.46176,13.8
"Office Supplies","10/23/17","Matt Abelman","OFF-PA-10000249","Home Office","Second Class","CA-2017-107727","Paper","Easy-staple paper","Houston","10/19/17","MA-17560","Texas","United States","Central",35,0.2,56.5,107.5728,1.128,96.2,29.472,77095,9.9468,27.4,0.12,17.605836,0.928,3.12,3,7.659036,78.1008,17.7
"Office Supplies","12/31/15","Steve Nguyen","OFF-EN-10002986","Home Office","Standard Class","CA-2015-117415","Envelopes","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","Houston","12/27/15","SN-20710","Texas","United States","Central",38,0.2,91.7,130.3272,1.066,82.6,113.328,77041,35.415,87,1.89,38.60235,0.866,10.89,9,3.18735,16.9992,18.8
"Furniture","12/31/15","Steve Nguyen","FUR-BO-10002545","Home Office","Standard Class","CA-2015-117415","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","Houston","12/27/15","SN-20710","Texas","United States","Central",39,0.32,56.2,601.611096,1.3888,84,532.3992,77041,-46.9764,88.5,0.57,-83.617992,1.0688,3.57,3,-36.641592,69.211896,23
"Furniture","12/31/15","Steve Nguyen","FUR-CH-10004218","Home Office","Standard Class","CA-2015-117415","Chairs","Global Fabric Manager's Chair, Dark Gray","Houston","12/27/15","SN-20710","Texas","United States","Central",40,0.3,90.9,640.41516,1.209,111.1,212.058,77041,-15.147,33.1,-0.3,-16.6617,0.909,2.7,3,-1.5147,428.35716,24.8
"Technology","12/31/15","Steve Nguyen","TEC-PH-10000486","Home Office","Standard Class","CA-2015-117415","Phones","Plantronics HL10 Handset Lifter","Houston","12/27/15","SN-20710","Texas","United States","Central",41,0.2,65.4,1247.12448,0.896,102,371.168,77041,41.7564,29.8,-0.08,63.887292,0.696,3.92,4,22.130892,875.95648,22.3
"Office Supplies","11/30/15","Kunst Miller","OFF-BI-10001078","Consumer","Standard Class","CA-2015-135545","Binders","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","Los Angeles","11/24/15","KM-16720","California","United States","West",64,0.2,58.8,90.12576,1.778,94.3,25.824,90004,9.3612,28.7,0.36,15.91404,1.578,6.36,6,6.55284,64.30176,11.2
"Office Supplies","11/16/17","Christopher Schild","OFF-ST-10003656","Home Office","First Class","US-2017-119662","Storage","Safco Industrial Wire Shelving","Chicago","11/13/17","CS-12400","Illinois","United States","Central",85,0.2,85.5,626.62272,1.418,76.9,230.376,60623,-48.9549,36.8,0.9,-57.277233,1.218,3.9,3,-8.322333,396.24672,14.1
"Technology","11/17/15","Lena Cacioppo","TEC-AC-10001552","Consumer","Standard Class","US-2015-156867","Accessories","Logitech K350 2.4Ghz Wireless Keyboard","Aurora","11/13/15","LC-16870","Colorado","United States","West",104,0.2,65.8,312.95376,1.72,96.2,238.896,80013,-26.8758,76.3,0.24,-40.851216,1.52,6.24,6,-13.975416,74.05776,11.6
"Furniture","11/17/15","Lena Cacioppo","FUR-FU-10004006","Consumer","Standard Class","US-2015-156867","Furnishings","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting","Aurora","11/13/15","LC-16870","Colorado","United States","West",105,0.2,54.6,254.8764,0.924,108.7,102.36,80013,-3.8385,40.2,-0.24,-7.024455,0.724,2.76,3,-3.185955,152.5164,21.6
"Office Supplies","11/17/15","Lena Cacioppo","OFF-BI-10002794","Consumer","Standard Class","US-2015-156867","Binders","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","Aurora","11/13/15","LC-16870","Colorado","United States","West",106,0.7,63.3,42.04548,5.775,100,36.882,80013,-25.8174,87.7,0,-40.791492,5.075,3,3,-14.974092,5.16348,12.1
"Technology","11/28/17","Janet Martin","TEC-AC-10003499","Consumer","Standard Class","CA-2017-119004","Accessories","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive","Charlotte","11/23/17","JM-15250","North Carolina","United States","South",107,0.2,51.5,206.03136,1.198,68.5,74.112,28205,17.6016,36,3.68,34.147104,0.998,11.68,8,16.545504,131.91936,16.7
