"Opportunity.Competitor_EDD_c__c","Origin","LastModifiedDate","Account.Type","AccountId","Account.Owner.Role.RolePath","Account.Owner.UniqueUserName","Account.Owner.Role.Roles","CurrentDate","Status","Opportunity.Predicted_Close_Date__c","Account.Owner.UserManager.UniqueUserName","IsEscalated","CreatedDate","Account.OwnerId","Id","Account.ShippingState","Opportunity.EDD_CreatedDate__c","Account.Owner.UserManagerNames","Account.Owner.Role.Name","Account.Owner.UserManager.Name","ContactId","IsClosed","Account.Industry","Opportunity.DemoShow__c","OwnerId","Account.Parent.ParentAccount.ShippingState","CaseNumber","Account.AccountSource","Account.Owner.Role.ParentRoleId","Account.Parent.ParentAccount.BillingState","Account.Parent.ParentAccount.OwnerId","Opportunity.Discount_Approved__c","Account.BillingState","Account.Parent.ParentAccount.Name","Account.Owner.Name","Opportunity.EDD_Leading_Causes__c","Subject","Opportunity.EDD_Prescription__c","Type","Account.Parent.AccountParents","Account.Name","ClosedDate","DurationCalculatedField","Account.AnnualRevenue","Account.NumberOfEmployees","Opportunity.EDD_Outcome__c","Opportunity.Amount","Opportunity.EDD_Age__c","Opportunity.Close_Date_Difference__c"
"","Mobile Device","2020-07-01T08:04:27.000Z","Corporate","001B000000WJDvcIAH","","Courtney Brown","","2020-07-13T20:29:06.055Z","Closed","","",False,"2020-07-02T08:00:00.000Z","005B0000003CnfVIAS","500B0000002pIOXIA2","","","Courtney Brown","West Sales","","003B0000008xfSbIAI",True,"Food & Beverage","","005B0000003CnfVIAS","",5958,"Cold Call","00EB0000000azEIMAY","OR","005B0000003CnfVIAS","","OR","Resourcesoft","Courtney Brown","","What does your service contract cover?","","Product Support","001B000000WJDvcIAH","Resourcesoft","2020-07-02T08:00:00.000Z",0.0,3461000,53,0,0,0,0
"","Instagram","2020-07-01T08:04:27.000Z","Corporate","001B000000WJDvcIAH","","Courtney Brown","","2020-07-13T20:29:06.055Z","Closed","","",False,"2020-07-02T08:00:00.000Z","005B0000003CnfVIAS","500B0000002pIOYIA2","","","Courtney Brown","West Sales","","003B0000008xfSbIAI",True,"Food & Beverage","","005B0000003CnfVIAS","",5959,"Cold Call","00EB0000000azEIMAY","OR","005B0000003CnfVIAS","","OR","Resourcesoft","Courtney Brown","","I received the wrong invoice.","","Account Support","001B000000WJDvcIAH","Resourcesoft","2020-07-02T08:00:00.000Z",0.0,3461000,53,0,0,0,0
"","Email","2020-07-01T08:04:27.000Z","Corporate","001B000000SS3OhIAL","","Jordan Wolf","","2020-07-13T20:29:06.055Z","Closed","","",False,"2020-04-29T08:00:00.000Z","005B0000003CnfQIAS","500B0000002pIOZIA2","","","Jordan Wolf","West Sales","","003B0000007vC5cIAE",True,"Biotechnology","","005B0000003CnfQIAS","",5960,"Data.com","00EB0000000azEIMAY","HI","005B0000003CnfQIAS","","HI","Cipient Networks Inc","Jordan Wolf","","Initiating return process.","","Account Support","001B000000SS3OhIAL","Cipient Networks Inc","2020-05-06T08:00:00.000Z",7.0,2554000,96,0,0,0,0
"","Website","2020-07-01T08:04:27.000Z","Corporate","001B000000SS3OiIAL","","Beth Crawford","","2020-07-13T20:29:06.055Z","Closed","2019-04-22","",False,"2019-07-31T08:00:00.000Z","005B0000003CnfKIAS","500B0000002pIOaIAM","","","Beth Crawford","West Sales","","003B0000007vC5dIAE",True,"Media",True,"005B0000003CnfKIAS","",5961,"Referral","00EB0000000azEIMAY","OR","005B0000003CnfKIAS","","OR","MMG Technology Corporation","Beth Crawford","+16.959 because Competitor is Moparts and Region is Pacific
+14.534 because Lead Source is Fields Sales and Region is Pacific
+10.515 because Lead Source is Fields Sales and Competitor is Moparts
+23.656 because of other factors
from the baseline, +70.126","Need additional product information","No changes recommended","Product Support","001B000000SS3OiIAL","MMG Technology Corporation","2019-08-05T08:00:00.000Z",5.0,6836000,30,135,74146,0,-44
"","Q&A","2020-07-01T08:04:27.000Z","Corporate","001B000000SS4SkIAL","","Courtney Brown","","2020-07-13T20:29:06.055Z","Attention","","",False,"2020-07-02T08:00:00.000Z","005B0000003CnfVIAS","500B0000002pIOdIAM","","","Courtney Brown","West Sales","","003B0000007vD4bIAE",False,"Not For Profit","","005B0000003CnfVIAS","",5964,"Data.com","00EB0000000azEIMAY","CA","005B0000003CnfVIAS","","CA","Lone Star Circuits","Courtney Brown","","How do I become a partner?","","Product Support","001B000000SS4SkIAL","Lone Star Circuits","2020-06-18T07:00:00.000Z",11.52,4493000,195,0,0,0,0
"","Website","2020-07-01T08:04:27.000Z","Corporate","001B000000SS4SnIAL","","Jordan Wolf","","2020-07-13T20:29:06.055Z","Closed","2019-05-17","",False,"2019-04-08T07:00:00.000Z","005B0000003CnfQIAS","500B0000002pIOfIAM","","","Jordan Wolf","West Sales","","003B0000007vD4eIAE",True,"Agriculture",True,"005B0000003CnfQIAS","",5966,"Cold Call","00EB0000000azEIMAY","CA","005B0000003CnfQIAS","","CA","American Environmental Container Corp.","Jordan Wolf","+14.534 because Lead Source is Reseller and Region is Pacific
+7.841 because Product Name is Exterior Accessories and Region is Pacific
+6.449 because Amount is 100001 to 132176 and Product Name is Exterior Accessories
-20.318 because of other factors
fro","Troubleshooting issues with the product","-3.848 if you change Interactive Demo to true","Product Support","001B000000SS4SnIAL","American Environmental Container Corp.","2019-04-12T07:00:00.000Z",4.0,5803000,166,186,155014,0,102
"","Community","2020-07-01T08:04:27.000Z","Corporate","001B000000SS4SsIAL","","Beth Crawford","","2020-07-13T20:29:06.055Z","Working","","",False,"2020-06-30T08:00:00.000Z","005B0000003CnfKIAS","500B0000002pIOhIAM","","","Beth Crawford","West Sales","","003B0000007vD4jIAE",False,"Entertainment","","005B0000003CnfKIAS","",5968,"Community","00EB0000000azEIMAY","CA","005B0000003CnfKIAS","","CA","Metapa","Beth Crawford","","How do I check my order status?","","Technical Issue","001B000000SS4SsIAL","Metapa","2019-04-08T07:00:00.000Z",13.52,6383000,132,0,0,0,0
"","Q&A","2020-07-01T08:04:27.000Z","Corporate","001B000000SS4SsIAL","","Beth Crawford","","2020-07-13T20:29:06.055Z","Closed","","",False,"2020-05-04T08:00:00.000Z","005B0000003CnfKIAS","500B0000002pIOiIAM","","","Beth Crawford","West Sales","","003B0000007vD4jIAE",True,"Entertainment","","005B0000003CnfKIAS","",5969,"Community","00EB0000000azEIMAY","CA","005B0000003CnfKIAS","","CA","Metapa","Beth Crawford","","Error on my bill","","Technical Issue","001B000000SS4SsIAL","Metapa","2020-05-06T08:00:00.000Z",2.0,6383000,132,0,0,0,0
"","Phone","2020-07-01T08:04:27.000Z","Corporate","001B000000bwMR3IAM","","Megan Kaufman","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-09-13T07:00:00.000Z","005B0000003CnfRIAS","500B0000002pIOjIAM","","","Megan Kaufman","West Sales","","003B000000A9t18IAB",True,"Other","","005B0000003CnfRIAS","",5970,"Community","00EB0000000azEIMAY","UT","005B0000003CnfRIAS","","UT","Emulex Corp. / Bothell Facility Corp.","Megan Kaufman","","How can I request a new feature?","","Account Support","001B000000bwMR3IAM","Emulex Corp. / Bothell Facility Corp.","2019-09-14T07:00:00.000Z",1.0,5820000,204,0,0,0,0
"","Community","2020-07-01T08:04:27.000Z","Corporate","001B000000bwMR3IAM","","Megan Kaufman","","2020-07-13T20:29:06.055Z","Closed","","",False,"2019-08-27T08:00:00.000Z","005B0000003CnfRIAS","500B0000002pIOkIAM","","","Megan Kaufman","West Sales","","003B000000A9t18IAB",True,"Other","","005B0000003CnfRIAS","",5971,"Community","00EB0000000azEIMAY","UT","005B0000003CnfRIAS","","UT","Emulex Corp. / Bothell Facility Corp.","Megan Kaufman","","How do I obtain your annual report?","","Product Support","001B000000bwMR3IAM","Emulex Corp. / Bothell Facility Corp.","2019-08-28T08:00:00.000Z",1.0,5820000,204,0,0,0,0
