"User.Role.RoleNamesPath","User.SmallPhotoUrl","User.UserManagerNames","User.UserRoleId","User.Role.ParentRole.ForecastManager.UniqueUserName","User.Role.ParentRole.DeveloperName","Type.IsQuantity","StartDate","User.Role.DeveloperName","User.Username","User.Role.Name","User.Role.ParentRole.Name","Type.IsAmount","User.Name","User.Role.RoleNames","User.FullPhotoUrl","User.Id","Type.DeveloperName","User.UniqueUserName","User.UserManager.UniqueUserName","User.Role.ParentRoleId","ForecastingTypeId","QuotaOwnerId","User.Role.Roles","User.Role.Hierarchy_RoleNames","Id","Type.IsActive","User.UserManager.Name","User.Role.RolePath","QuotaAmount"
"Philip Walton/Andrew Malone/Elliot Shapiro/Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3F/T","Philip Walton","00EB0000000azEDMAY","Andrew Malone","RVPEast","false","2016-01-01","EastSales","pwalton1547565044071@demo.user","East Sales","RVP East","true","Philip Walton","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3F/F","005B0000003CnfHIAS","OpportunityRevenue","Philip Walton",,"00EB0000000azEHMAY","0DbB0000000DMwuKAG","005B0000003CnfHIAS",,"Admin","0J9B00000000bcTKAQ","true",,,300000
"Philip Walton/Andrew Malone/Elliot Shapiro/Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3F/T","Philip Walton","00EB0000000azEDMAY","Andrew Malone","RVPEast","false","2016-02-01","EastSales","pwalton1547565044071@demo.user","East Sales","RVP East","true","Philip Walton","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3F/F","005B0000003CnfHIAS","OpportunityRevenue","Philip Walton",,"00EB0000000azEHMAY","0DbB0000000DMwuKAG","005B0000003CnfHIAS",,"Admin","0J9B00000000bcUKAQ","true",,,750000
"Philip Walton/Andrew Malone/Elliot Shapiro/Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3F/T","Philip Walton","00EB0000000azEDMAY","Andrew Malone","RVPEast","false","2016-03-01","EastSales","pwalton1547565044071@demo.user","East Sales","RVP East","true","Philip Walton","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3F/F","005B0000003CnfHIAS","OpportunityRevenue","Philip Walton",,"00EB0000000azEHMAY","0DbB0000000DMwuKAG","005B0000003CnfHIAS",,"Admin","0J9B00000000bcVKAQ","true",,,500000
"Philip Walton/Andrew Malone/Elliot Shapiro/Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3F/T","Philip Walton","00EB0000000azEDMAY","Andrew Malone","RVPEast","false","2016-04-01","EastSales","pwalton1547565044071@demo.user","East Sales","RVP East","true","Philip Walton","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3F/F","005B0000003CnfHIAS","OpportunityRevenue","Philip Walton",,"00EB0000000azEHMAY","0DbB0000000DMwuKAG","005B0000003CnfHIAS",,"Admin","0J9B00000000bcWKAQ","true",,,300000
"Philip Walton/Andrew Malone/Elliot Shapiro/Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3F/T","Philip Walton","00EB0000000azEDMAY","Andrew Malone","RVPEast","false","2016-05-01","EastSales","pwalton1547565044071@demo.user","East Sales","RVP East","true","Philip Walton","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs3F/F","005B0000003CnfHIAS","OpportunityRevenue","Philip Walton",,"00EB0000000azEHMAY","0DbB0000000DMwuKAG","005B0000003CnfHIAS",,"Admin","0J9B00000000bcXKAQ","true",,,750000
"Sheri Nunez/Andrew Barton/Elliot Shapiro/Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2l/T","Sheri Nunez","00EB0000000azECMAY","Andrew Barton","RVPCentral","false","2016-01-01","CentralSales","snunez1547565044126@demo.user","Central Sales","RVP Central","true","Sheri Nunez","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2l/F","005B0000003CnfTIAS","OpportunityRevenue","Sheri Nunez",,"00EB0000000azELMAY","0DbB0000000DMwuKAG","005B0000003CnfTIAS",,"Admin","0J9B00000000bcYKAQ","true",,,300000
"Sheri Nunez/Andrew Barton/Elliot Shapiro/Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2l/T","Sheri Nunez","00EB0000000azECMAY","Andrew Barton","RVPCentral","false","2016-02-01","CentralSales","snunez1547565044126@demo.user","Central Sales","RVP Central","true","Sheri Nunez","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2l/F","005B0000003CnfTIAS","OpportunityRevenue","Sheri Nunez",,"00EB0000000azELMAY","0DbB0000000DMwuKAG","005B0000003CnfTIAS",,"Admin","0J9B00000000bcZKAQ","true",,,750000
"Sheri Nunez/Andrew Barton/Elliot Shapiro/Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2l/T","Sheri Nunez","00EB0000000azECMAY","Andrew Barton","RVPCentral","false","2016-03-01","CentralSales","snunez1547565044126@demo.user","Central Sales","RVP Central","true","Sheri Nunez","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2l/F","005B0000003CnfTIAS","OpportunityRevenue","Sheri Nunez",,"00EB0000000azELMAY","0DbB0000000DMwuKAG","005B0000003CnfTIAS",,"Admin","0J9B00000000bcaKAA","true",,,500000
"Sheri Nunez/Andrew Barton/Elliot Shapiro/Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2l/T","Sheri Nunez","00EB0000000azECMAY","Andrew Barton","RVPCentral","false","2016-04-01","CentralSales","snunez1547565044126@demo.user","Central Sales","RVP Central","true","Sheri Nunez","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2l/F","005B0000003CnfTIAS","OpportunityRevenue","Sheri Nunez",,"00EB0000000azELMAY","0DbB0000000DMwuKAG","005B0000003CnfTIAS",,"Admin","0J9B00000000bcbKAA","true",,,300000
"Sheri Nunez/Andrew Barton/Elliot Shapiro/Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2l/T","Sheri Nunez","00EB0000000azECMAY","Andrew Barton","RVPCentral","false","2016-05-01","CentralSales","snunez1547565044126@demo.user","Central Sales","RVP Central","true","Sheri Nunez","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000Xs2l/F","005B0000003CnfTIAS","OpportunityRevenue","Sheri Nunez",,"00EB0000000azELMAY","0DbB0000000DMwuKAG","005B0000003CnfTIAS",,"Admin","0J9B00000000bccKAA","true",,,750000
