"Opportunity.Competitor_EDD_c__c","UserManager.Username","Role.ParentRoleId","Role.RolePath","UserManager.FullPhotoUrl","UserManager.UniqueUserName","Name","UserManager.Id","Role.ForecastManager.UniqueUserName","UserManager.SmallPhotoUrl","Opportunity.Predicted_Close_Date__c","hasOpportunity","Role.Name","Id","LastName","UserType","ManagerId","Role.RoleNames","UniqueUserName","Opportunity.EDD_CreatedDate__c","UserRoleId","IsActive","UserManager.Name","Role.ParentRole.ForecastManager.UniqueUserName","ForecastEnabled","Opportunity.DemoShow__c","Role.ParentRole.ForecastManager.Name","isDuplicate","Opportunity.Name","Role.DeveloperName","SmallPhotoUrl","ManagerNamesPath","Opportunity.Discount_Approved__c","FirstName","UserManager.UserRoleId","Role.ParentRole.Name","Role.ForecastManager.ForecastEnabled","Opportunity.EDD_Leading_Causes__c","Role.ForecastManager.Name","Role.RoleNamesPath","Opportunity.EDD_Prescription__c","CustomFilter","FullPhotoUrl","Username","Role.Roles","Role.Hierarchy_RoleNames","Role.ParentRole.DeveloperName","UserManagerNames","Opportunity.EDD_Outcome__c","Opportunity.EDD_Age__c","Opportunity.Close_Date_Difference__c"
,"cstevenson@demo.user","NA",,"https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVq/F","Cindy Stevenson","Admin","005B000000389UjIAI","Admin","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009bVq/T",,"false","CEO","005B00000034KssIAE","Admin","Standard","005B000000389UdIAI","Admin","Admin",,"00EB0000000azEQMAY","true","Cindy Stevenson",,"true",,,,,"CEO","https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Admin/Cindy Stevenson",,,"00EB0000000azECMAY",,"true",,"Admin","Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/005/F","admin@sales.analytics.demo",,"Admin",,"Admin",0,0,0
,,"NA",,,,"Bobby Brill",,"Admin",,,"false","CEO","005B00000034KxeIAE","Brill","Standard","005B000000389UdIAI","Bobby Brill","Bobby Brill",,"00EB0000000azEQMAY","true",,,"true",,,,,"CEO","https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Bobby Brill",,"Bobby",,,"true",,"Admin","Bobby Brill",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/005/F","bbrill@saleswave.demo",,"Bobby Brill",,"Bobby Brill",0,0,0
,,"00EB0000000azELMAY",,,,"Romero Rose",,,,,"false","Central Manager","005B00000034W0VIAU","Rose","Standard","N/A","Admin","Romero Rose",,"00EB0000000Env9MAC","true",,"Andrew Barton","true",,"Andrew Barton",,,"Central_Manager","https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Romero Rose",,"Romero",,"RVP Central",,,,"Romero Rose/Andrew Barton/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/005/F","rromero01493074125@demo.user",,"Admin","RVPCentral","Romero Rose",0,0,0
,,"00EB0000000azEHMAY",,,,"Martinez Jerry",,,,,"false","East Manager","005B00000034W0WIAU","Jerry","Standard","N/A","Admin","Martinez Jerry",,"00EB0000000EnvEMAS","true",,"Andrew Malone","true",,"Andrew Malone",,,"East_Manager","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYp/T","Martinez Jerry",,"Martinez",,"RVP East",,,,"Martinez Jerry/Andrew Malone/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYp/F","jmartine1493074126@demo.user",,"Admin","RVPEast","Martinez Jerry",0,0,0
,,"00EB0000000azEKMAY",,,,"Amanda Mills",,"Tyler Parker",,"2020-01-03","true","RVP West","005B00000034W0XIAU","Mills","Standard","005B000000389UhIAI","Admin","Amanda Mills",,"00EB0000000azEIMAY","true",,"Elliot Shapiro","true","true","Elliot Shapiro",,"Rapid Production Tooling 64","RVPWest","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000HqHw/T","Amanda Mills",,"Amanda",,"VP of Sales","true","+14.534 because Lead Source is Other and Region is Midwest
-10.033 because Lead Source is Other
+6.449 because Amount is 219161 to 1000000 and Product Name is Batteries
-12.084 because of other factors
from the baseline, +70.126","Tyler Parker","Amanda Mills/Elliot Shapiro/Admin","-0.867 if you change Interactive Demo to true","true","https://sales-ed--c.gus.content.force.com/profilephoto/729B0000000HqHw/F","amills@sales.demo",,"Admin","VPSales","Amanda Mills",68,0,-19
,,"00EB0000000azELMAY",,,,"Julia Hart",,,,,"false","Central Sales","005B00000034W1BIAU","Hart","Standard","N/A","Admin","Julia Hart",,"00EB0000000azECMAY","true",,"Andrew Barton","true",,"Andrew Barton",,,"CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYV/T","Julia Hart",,"Julia",,"RVP Central",,,,"Julia Hart/Andrew Barton/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYV/F","jhart01489180171123@demo.user",,"Admin","RVPCentral","Julia Hart",0,0,0
,,"00EB0000000azELMAY",,,,"Susan Dunn",,,,,"false","Central Sales","005B00000034W1CIAU","Dunn","Standard","N/A","Admin","Susan Dunn",,"00EB0000000azECMAY","true",,"Andrew Barton","true",,"Andrew Barton",,,"CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/005/T","Susan Dunn",,"Susan",,"RVP Central",,,,"Susan Dunn/Andrew Barton/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/005/F","sdunn31489180173123@demo.user",,"Admin","RVPCentral","Susan Dunn",0,0,0
,,"00EB0000000azELMAY",,,,"Nicholas Wright",,,,,"false","Central Sales","005B00000034W1DIAU","Wright","Standard","N/A","Admin","Nicholas Wright",,"00EB0000000azECMAY","true",,"Andrew Barton","true",,"Andrew Barton",,,"CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYu/T","Nicholas Wright",,"Nicholas",,"RVP Central",,,,"Nicholas Wright/Andrew Barton/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rYu/F","nwright41489180173123@demo.user",,"Admin","RVPCentral","Nicholas Wright",0,0,0
,,"00EB0000000azELMAY",,,,"Clarence Burton",,,,,"false","Central Sales","005B00000034W1EIAU","Burton","Standard","N/A","Admin","Clarence Burton",,"00EB0000000azECMAY","true",,"Andrew Barton","true",,"Andrew Barton",,,"CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rY1/T","Clarence Burton",,"Clarence",,"RVP Central",,,,"Clarence Burton/Andrew Barton/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rY1/F","cburton81489180173123@demo.user",,"Admin","RVPCentral","Clarence Burton",0,0,0
,,"00EB0000000azELMAY",,,,"Adam Andrews",,,,,"false","Central Sales","005B00000034W1FIAU","Andrews","Standard","N/A","Adam Andrews","Adam Andrews",,"00EB0000000azECMAY","true",,"Andrew Barton","true",,"Andrew Barton",,,"CentralSales","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXm/T","Adam Andrews",,"Adam",,"RVP Central",,,,"Adam Andrews/Andrew Barton/Elliot Shapiro/Admin",,"true","https://sales-ed--c.gus.content.force.com/profilephoto/729B00000009rXm/F","aandrews1489180174123@demo.user",,"Adam Andrews","RVPCentral","Adam Andrews",0,0,0
