"Owner_SmallPhotoUrl","Status","Owner","LeadSource","IsConverted","Rating","CreatedDate","LastProcessedDate","Name","Owner_Name","LeadActivities","ConvertedOppAmount"
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Working","Deepu CSEG","Employee Referral","TRUE","Warm","2021-01-09","2021-01-28","Pearline Bellsham","Tawnia Williams",6,0
"https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Converted","G M","Purchased List","FALSE","Cold","2021-01-26","2021-01-28","Charlean Cooney","Thomas Oliver",11,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Nurturing","R CSEG","Advertisement","FALSE","Hot","2021-01-07","2021-01-28","Ronnie Lavigne","Sofia Lopez",16,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Nurturing - Contacted","R CSEG","Other","FALSE","Warm","2021-01-21","2021-01-28","Marti Simmig","Sofia Lopez",18,0
"https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Qualified","G M","Other","FALSE","Hot","2021-01-17","2021-01-28","Sib Hawk","Thomas Oliver",12,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","New","R CSEG","Trade Show","TRUE","Warm","2021-01-25","2021-01-28","Isis Hollyer","Sofia Lopez",14,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Converted","Qianwen Dong","Advertisement","FALSE","Cold","2021-01-07","2021-01-28","Iolanthe Birchett","Justin Chen",16,14000
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Qualified","Qianwen Dong","Other","FALSE","Warm","2021-01-13","2021-01-28","Indira Crook","Justin Chen",10,116000
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Nurturing - Contacted","R CSEG","Employee Referral","FALSE","Hot","2021-01-27","2021-01-28","Augustus Simonaitis","Sofia Lopez",15,49000
"https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Working","G M","Employee Referral","TRUE","Warm","2021-01-15","2021-01-28","Andy Smith (Sample)","Thomas Oliver",10,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Working  - Contacted","R CSEG","Other","FALSE","Cold","2021-01-08","2021-01-28","Phyllida Blair","Sofia Lopez",11,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Nurturing","Deepu CSEG","Other","FALSE","Hot","2021-01-02","2021-01-28","Pauline Parell","Tawnia Williams",22,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Converted","Qianwen Dong","Purchased List","FALSE","Warm","2021-01-13","2021-01-28","Boyle","Justin Chen",15,0
"https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","New","G M","Other","TRUE","Warm","2021-01-21","2021-01-28","Rhodie Domoney","Thomas Oliver",7,41000
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Qualified","R CSEG","Employee Referral","FALSE","Hot","2021-01-04","2021-01-28","Gerry Wackley","Sofia Lopez",0,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Nurturing - Contacted","Deepu CSEG","Advertisement","FALSE","Cold","2021-01-22","2021-01-28","Joycelin Thrustle","Tawnia Williams",7,27000
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Working  - Contacted","R CSEG","Other","TRUE","Warm","2021-01-18","2021-01-28","Erasmus Satford","Sofia Lopez",21,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Working  - Contacted","Qianwen Dong","Employee Referral","FALSE","Warm","2021-01-11","2021-01-28","Matthew Lanchester","Justin Chen",17,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Nurturing","R CSEG","Advertisement","FALSE","Hot","2021-01-27","2021-01-28","Conway Sarre","Sofia Lopez",24,0
"https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Converted","G M","Other","FALSE","Cold","2021-01-28","2021-01-28","Greer Weedon","Thomas Oliver",8,31000
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Converted","R CSEG","Employee Referral","TRUE","Warm","2021-01-11","2021-01-28","Amelina Rigardeau","Sofia Lopez",12,0
"https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Qualified","G M","Trade Show","FALSE","Warm","2021-01-07","2021-01-28","Urbano Zorn","Thomas Oliver",8,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Working  - Contacted","R CSEG","Other","FALSE","Hot","2021-01-19","2021-01-28","Ivory Rider","Sofia Lopez",8,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Nurturing - Contacted","Qianwen Dong","Purchased List","FALSE","Warm","2021-01-03","2021-01-28","Jordan","Justin Chen",10,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","New","Deepu CSEG","Other","TRUE","Cold","2021-01-11","2021-01-28","McPherson","Tawnia Williams",15,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Working","R CSEG","Advertisement","FALSE","Warm","2021-01-27","2021-01-28","Rycca Geoghegan","Sofia Lopez",18,0
"https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Converted","G M","Other","FALSE","Hot","2021-01-18","2021-01-28","Frasier Peploe","Thomas Oliver",20,0
"https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Nurturing","G M","Employee Referral","FALSE","Warm","2021-01-25","2021-01-28","Layla Denniston","Thomas Oliver",5,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Converted","R CSEG","Employee Referral","FALSE","Hot","2021-01-15","2021-01-28","Christie Mathis","Sofia Lopez",9,0
"https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Qualified","Qianwen Dong","Advertisement","TRUE","Warm","2021-01-06","2021-01-28","Bevon Ramstead","Justin Chen",12,0
