"MortgageProgramType","Owner_SmallPhotoUrl","Status","LastModifiedDate","LoanBucket","Is1MplusLoanInNewStatusFor30Days","LastProcessedDate","NumActivitiesBucket","Account_FinancialAccount_Id","LoanPurpose","Name","Owner_Name","OwnerId","OpportunityId","HasMissingDocs","CreatedDate","Id","Opportunity_StageName","DocumentChecklistItem_MissingDoc","Opportunity_Amount","LoanApplicationFinancial_LoanAmount","Activities_RLARelatedActivity","DaysSinceCreated"
"Other","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Pending","2021-01-04","1. < 500k","FALSE","2021-01-26","None","0cd6g000000gEuMAAUT","Other","Madilyn Campos ","Thomas Oliver","a","0066g0000392rFXAAY","Yes","2021-01-04","0cd6g000000gEuMAAU","Client Presentation",2,1200000,310000,0,22
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2021-01-02","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Conner Lynch Refinance Home Loan","Tawnia Williams","a","0066g0000392rEAAAY","Yes","2021-01-02","0cd6g000000gEu8AAE","Qualification",2,1000000,605000,0,24
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","New","2021-01-02","1. < 500k","FALSE","2021-01-26","None",,"Refinance","Kaley Mcgee ","Sofia Lopez","a","0066g0000392rJdAAI","Yes","2021-01-02","0cd6g000000gEt4AAE","Client Presentation",2,900000,460000,0,24
"Other","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Pending","2021-01-02","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Davian Allison ","Sofia Lopez","a","0066g0000392rEtAAI","Yes","2021-01-02","0cd6g000000gEuQAAU","Qualification",2,1700000,500000,0,24
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2021-01-02","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Maximo Rangel ","Sofia Lopez","a","0066g0000392rEBAAY","Yes","2021-01-02","0cd6g000000gEuCAAU","Qualification",2,1500000,465000,0,24
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-03","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Caitlin Cohen ","Thomas Oliver","a","0066g0000392rERAAY","Yes","2021-01-03","0cd6g000000gEtiAAE","Qualification",2,300000,450000,0,23
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2021-01-03","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Oliver Doyle ","Sofia Lopez","a","0066g0000392rJsAAI","Yes","2021-01-03","0cd6g000000gEvyAAE","Qualification",1,700000,725000,0,23
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2021-01-03","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Cedric Patterson ","Sofia Lopez","a","0066g0000392rDpAAI","Yes","2021-01-03","0cd6g000000gEs6AAE","Client Presentation",2,1200000,350000,0,23
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2021-01-04","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Duncan Chen ","Tawnia Williams","a","0066g0000392rK1AAI","Yes","2021-01-04","0cd6g000000gEsQAAU","Discovery",2,1500000,935000,0,22
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2021-01-04","1. < 500k","FALSE","2021-01-26","None","0cd6g000000gErfAAET","Other","Keenan Petty ","Justin Chen","a","0066g0000392rLkAAI","Yes","2021-01-04","0cd6g000000gErfAAE","Develop Proposal",3,200000,420000,0,22
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2021-01-04","2. 500k-999k","FALSE","2021-01-26","None",,"Refinance","Lance Whitaker ","Tawnia Williams","a","0066g0000392rKMAAY","Yes","2021-01-04","0cd6g000000gEw7AAE","Qualification",1,600000,715000,0,22
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2021-01-05","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Christian Strickland ","Thomas Oliver","a","0066g0000392rFtAAI","Yes","2021-01-05","0cd6g000000gEw2AAE","Qualification",1,1000000,855000,0,21
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2021-01-05","1. < 500k","FALSE","2021-01-26","None",,"Refinance","Ari Pitts ","Justin Chen","a","0066g0000392rDQAA","Yes","2021-01-05","0cd6g000000gErrAAE","Client Presentation",2,300000,410000,0,21
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-07","2. 500k-999k","FALSE","2021-01-26","None",,"Other","Kade Jefferson Refinance Home Loan","Justin Chen","a","0066g0000392rKKAAY","Yes","2021-01-07","0cd6g000000gEuDAAU","Develop Proposal",2,400000,680000,0,19
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2021-01-08","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Jayden Haley ","Sofia Lopez","a","0066g0000392rF5AAI","Yes","2021-01-08","0cd6g000000gEt0AAE","Qualification",2,800000,730000,0,18
"VA","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2021-01-09","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Whitney Villanueva ","Sofia Lopez","a","0066g0000392rEkAAI","Yes","2021-01-09","0cd6g000000gEtjAAE","Client Presentation",2,800000,495000,0,17
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-09","1. < 500k","FALSE","2021-01-26","None",,"Refinance","Yasmine Mathews ","Tawnia Williams","a","0066g0000392rFIAAY","No","2021-01-09","0cd6g000000gExLAAU","Qualification",0,800000,350000,0,17
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2021-01-09","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Marin Arroyo ","Thomas Oliver","a","0066g0000392rKWAAY","Yes","2021-01-09","0cd6g000000gEuhAAE","Develop Proposal",2,1500000,345000,0,17
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","New","2021-01-09","2. 500k-999k","FALSE","2021-01-26","None",,"Purchase","Porter Webb ","Sofia Lopez","a","0066g0000392rGIAAY","Yes","2021-01-09","0cd6g000000gEtMAAU","Qualification",2,200000,925000,0,17
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-09","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Meadows Refinance Home Loan","Sofia Lopez","a","0066g0000392rFeAAI","Yes","2021-01-09","0cd6g000000gEseAAE","Closed Won",2,1500000,420000,0,17
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-10","1. < 500k","FALSE","2021-01-26","None",,"Refinance","Braiden Ross ","Thomas Oliver","a","0066g0000392rM8AAI","Yes","2021-01-10","0cd6g000000gEt3AAE","Discovery",2,1900000,415000,0,16
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Pending","2021-01-10","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Waylon Patrick ","Sofia Lopez","a","0066g0000392rJWAAY","Yes","2021-01-10","0cd6g000000gEwbAAE","Develop Proposal",1,400000,320000,0,16
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","New","2021-01-10","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Baron Cantu ","Justin Chen","a","0066g0000392rF9AAI","Yes","2021-01-10","0cd6g000000gEuSAAU","Discovery",2,1000000,460000,0,16
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","Completed","2021-01-10","1. < 500k","FALSE","2021-01-26","None",,"Refinance","Donovan Sandoval ","Justin Chen","a","0066g0000392rFyAAI","No","2021-01-10","0cd6g000000gExVAAU","Qualification",0,800000,415000,0,16
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2021-01-11","1. < 500k","FALSE","2021-01-26","None",,"Purchase","Keenan Petty ","Tawnia Williams","a","0066g0000392rDbAAI","Yes","2021-01-11","0cd6g000000gErfAAE","Client Presentation",3,700000,310000,0,15
"VA","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2021-01-11","1. < 500k","FALSE","2021-01-26","None",,"Other","Emmy Yang ","Sofia Lopez","a","0066g0000392rJRAAY","Yes","2021-01-11","0cd6g000000gEvNAAU","Client Presentation",1,1900000,480000,0,15
