"MortgageProgramType","Owner_SmallPhotoUrl","Status","LastModifiedDate","LoanBucket","Is1MplusLoanInNewStatusFor30Days","NumActivitiesBucket","Account_FinancialAccount_Id","LoanPurpose","Name","Owner_Name","OpportunityId","HasMissingDocs","CreatedDate","Id","Opportunity_StageName","DocumentChecklistItem_MissingDoc","Opportunity_Amount","LoanApplicationFinancial_LoanAmount","Activities_RLARelatedActivity","OwnerId","DaysSinceCreated"
"USDARuralHousingService","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Pending","2020-11-18","1. < 500k","FALSE","None","0cd6g000000gEv3AAET","Other","Leonel Arnold Leonel Arnold ","Thomas Oliver","0066g0000392rJsAAI","Yes","2020-11-11","0cd6g000000gEv3AAE","Qualification",2,700000,310000,0,1,65
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Completed","2020-11-11","2. 500k-999k","FALSE","3-4",,"Purchase","Debbie Zen Zen Home Loan","Tawnia Williams","0066g0000392rJVAAY","Yes","2020-11-11","0cd6g000000gEqzAAE","Qualification",4,1200000,605000,4,2,72
"FHA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Pending","2020-12-05","1. < 500k","FALSE","None",,"Purchase","Keyon Bullock ","Tawnia Williams","0066g0000392rEbAAI","No","2020-12-05","0cd6g000000gEwrAAE","Develop Proposal",0,1500000,485000,0,2,48
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T","Pending","2020-12-01","2. 500k-999k","FALSE","None",,"Refinance","Jaiden Villanueva Other Home Loan","Tawnia Williams","0066g0000392rE4AAI","No","2020-12-01","0cd6g000000gExnAAE","Client Presentation",0,800000,825000,0,2,52
"Other","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-11-23","2. 500k-999k","FALSE","1-2",,"Refinance","Gerald Woodward ","Sofia Lopez","0066g0000392rEyAAI","Yes","2020-11-23","0cd6g000000gEv8AAE","Client Presentation",1,1700000,700000,2,3,60
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Pending","2020-12-02","1. < 500k","FALSE","None",,"Purchase","Marin Arroyo ","Sofia Lopez","0066g0000392rLZAAY","Yes","2020-12-02","0cd6g000000gEuhAAE","Client Presentation",2,1700000,425000,0,3,51
"VA","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T","Completed","2020-11-30","1. < 500k","FALSE","None",,"Purchase","Brooklyn Rowland Other Home Loan","Sofia Lopez","0066g0000392rDaAAI","No","2020-11-30","0cd6g000000gExxAAE","Qualification",0,1400000,485000,0,3,53
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T","New","2020-11-11","1. < 500k","FALSE","None",,"Purchase","Raj Varma Residential Loan Application","Sofia Lopez","0066g0000392rKeAAI","No","2020-11-11","0cd6g000000LBBYAA4","Client Presentation",0,300000,460000,0,3,72
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-11-22","1. < 500k","FALSE","None",,"Purchase","Omar Cline Other Home Loan","Thomas Oliver","0066g0000392rK3AAI","No","2020-11-22","0cd6g000000gExZAAU","Client Presentation",0,500000,340000,0,1,61
"Conventional","https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T","Completed","2020-12-01","2. 500k-999k","FALSE","None",,"Refinance","Finn Potts Refinance Home Loan","Thomas Oliver","0066g0000392rM7AAI","Yes","2020-12-01","0cd6g000000gEuxAAE","Client Presentation",2,1500000,685000,0,1,52
