"LoyaltyProgramMember_Contact_Name","LoyaltyProgramMember_ProgramId","NextResetDate","LastResetDate","LoyaltyProgramMember_MemberName","LoyaltyProgramMember_EnrollmentDate","LoyaltyProgramCurrency_QP_Currency","LoyaltyProgramMember_IsReferral","LoyaltyProgramCurrencyId","LoyaltyProgramMember_MemberStatus","Name","LoyaltyMemberId","LoyaltyProgramMember_Account_Name","LoyaltyProgramMember_MembershipEndDate","LoyaltyProgramMember_Referrer_Account_Name","LoyaltyProgramMember_Contact_MobilePhone","LoyaltyProgramMember_EnrollmentChannel","LoyaltyProgramMember_Contact_Birthdate","LoyaltyProgramMember_Referrer_Contact_Birthdate","LoyaltyProgramMember_LeadOrContactName","LoyaltyProgramMember_Referrer_Contact_Name","LastProcessedDate","LoyaltyProgramMember_LeadOrContactId","LoyaltyProgramMember_Referrer_Contact_MobilePhone","LoyaltyProgramMember_LoyaltyProgram_Name","LoyaltyProgramMember_MembershipNumber","LoyaltyProgramMember_LastActivityDate","LoyaltyProgramMember_MemberType","LoyaltyProgramCurrency_CurrencyType","LoyaltyProgramMember_AccountContact_Id","Id","LoyaltyProgramCurrency_NQP_Currency","LastExpirationProcessRunDate","LoyaltyProgramCurrency_Id","TotalPointsExpired","ExpirablePoints","TotalPointsRedeemed","TotalPointsAccrued","PointsBalance","BalanceBeforeReset"
"Ida Sautner","0lpB00000004CeyIAE","2022-01-13",,"Ida Sautner","2020-04-18","Number of Transactions","No","0lcB00000004CXWIA2","Active","Number of Transactions","0lMB00000004GNZMA2",,,,,"Web",,,"Ida Sautner",,"2021-03-03","003B000000HtW77IAF",,"Xplore","235708",,"Individual","Qualifying",,"0lzB00000004KPHIA2",,,"0lcB00000004CXWIA2",0,0,0,0,0,0
"Ida Sautner","0lpB00000004CeyIAE",,,"Ida Sautner","2020-04-18",,"No","0lcB00000004CXXIA2","Active","Nights Stayed","0lMB00000004GNZMA2",,,,,"Web",,,"Ida Sautner",,"2021-03-03","003B000000HtW77IAF",,"Xplore","235708",,"Individual","NonQualifying",,"0lzB00000004KPIIA2","Nights Stayed",,"0lcB00000004CXXIA2",0,0,0,0,0,0
"Ida Sautner","0lpB00000004CeyIAE","2020-10-18",,"Ida Sautner","2020-04-18","Transaction Amount","No","0lcB00000004CXYIA2","Active","Transaction Amount","0lMB00000004GNZMA2",,,,,"Web",,,"Ida Sautner",,"2021-03-03","003B000000HtW77IAF",,"Xplore","235708",,"Individual","Qualifying",,"0lzB00000004KPJIA2",,,"0lcB00000004CXYIA2",0,0,0,0,0,0
"Teesha Meegan","0lpB00000004CeyIAE","2022-01-13",,"Teesha Meegan","2020-03-13","Number of Transactions","No","0lcB00000004CXWIA2","Active","Number of Transactions","0lMB00000004GNaMAM",,,,,"Email",,,"Teesha Meegan",,"2021-03-03","003B000000HtW79IAF",,"Xplore","9346790",,"Individual","Qualifying",,"0lzB00000004KPKIA2",,,"0lcB00000004CXWIA2",0,0,0,0,0,0
"Teesha Meegan","0lpB00000004CeyIAE",,,"Teesha Meegan","2020-03-13",,"No","0lcB00000004CXXIA2","Active","Nights Stayed","0lMB00000004GNaMAM",,,,,"Email",,,"Teesha Meegan",,"2021-03-03","003B000000HtW79IAF",,"Xplore","9346790",,"Individual","NonQualifying",,"0lzB00000004KPLIA2","Nights Stayed",,"0lcB00000004CXXIA2",0,0,0,0,0,0
"Teesha Meegan","0lpB00000004CeyIAE","2020-09-13",,"Teesha Meegan","2020-03-13","Transaction Amount","No","0lcB00000004CXYIA2","Active","Transaction Amount","0lMB00000004GNaMAM",,,,,"Email",,,"Teesha Meegan",,"2021-03-03","003B000000HtW79IAF",,"Xplore","9346790",,"Individual","Qualifying",,"0lzB00000004KPMIA2",,,"0lcB00000004CXYIA2",0,0,0,0,0,0
"Ali Tatlock","0lpB00000004CeyIAE","2022-01-13",,"Ali Tatlock","2020-08-18","Number of Transactions","No","0lcB00000004CXWIA2","Active","Number of Transactions","0lMB00000004GNbMAM",,,,,"POS",,,"Ali Tatlock",,"2021-03-03","003B000000HtW7AIAV",,"Xplore","25346879",,"Individual","Qualifying",,"0lzB00000004KPNIA2",,,"0lcB00000004CXWIA2",0,0,0,0,0,0
"Ali Tatlock","0lpB00000004CeyIAE",,,"Ali Tatlock","2020-08-18",,"No","0lcB00000004CXXIA2","Active","Nights Stayed","0lMB00000004GNbMAM",,,,,"POS",,,"Ali Tatlock",,"2021-03-03","003B000000HtW7AIAV",,"Xplore","25346879",,"Individual","NonQualifying",,"0lzB00000004KPOIA2","Nights Stayed",,"0lcB00000004CXXIA2",0,0,0,0,0,0
"Ali Tatlock","0lpB00000004CeyIAE","2021-02-18",,"Ali Tatlock","2020-08-18","Transaction Amount","No","0lcB00000004CXYIA2","Active","Transaction Amount","0lMB00000004GNbMAM",,,,,"POS",,,"Ali Tatlock",,"2021-03-03","003B000000HtW7AIAV",,"Xplore","25346879",,"Individual","Qualifying",,"0lzB00000004KPPIA2",,,"0lcB00000004CXYIA2",0,0,0,0,0,0
"Kelsi Choi","0lpB00000004CeyIAE","2022-01-13",,"Kelsi Choi","2020-05-23","Number of Transactions","No","0lcB00000004CXWIA2","Active","Number of Transactions","0lMB00000004GNcMAM",,,,,"CallCenter",,,"Kelsi Choi",,"2021-03-03","003B000000HtW7BIAV",,"Xplore","3656757",,"Individual","Qualifying",,"0lzB00000004KPQIA2",,,"0lcB00000004CXWIA2",0,0,0,0,0,0
