"LoyaltyProgramMember_Contact_Name","LoyaltyProgramMember_ProgramId","LoyaltyTierId","LoyaltyTier_LoyaltyTierGroup_Name","LoyaltyProgramMember_MemberName","LoyaltyProgramMember_EnrollmentDate","LoyaltyMemberCurrency_LoyaltyProgramMember_Contact_MobilePhone","LoyaltyProgramMember_IsReferral","LoyaltyProgramMember_MemberStatus","Name","LoyaltyMemberId","LoyaltyProgramMember_Account_Name","LoyaltyProgramMember_MembershipEndDate","LoyaltyMemberCurrency_LoyaltyProgramMember_AccountContact_Id","LoyaltyMemberCurrency_LoyaltyProgramMember_Contact_Birthdate","LoyaltyMemberCurrency_LoyaltyProgramMember_Referrer_Contact_Birthdate","LoyaltyMemberCurrency_LoyaltyProgramMember_Referrer_Contact_MobilePhone","LoyaltyProgramMember_MemberTenureBucket","LoyaltyProgramMember_Referrer_Account_Name","ReasonForChange","LoyaltyProgramMember_Contact_MobilePhone","LoyaltyProgramMember_EnrollmentChannel","LoyaltyProgramMember_TransactionJournal_SecondAccrualDate","LoyaltyProgramMember_MembershipLastRenewalDate","LoyaltyTier_Name","LoyaltyMemberCurrency_LoyaltyProgramMember_Contact_Name","LoyaltyProgramMember_Contact_Birthdate","LoyaltyProgramMember_LeadOrContactName","LoyaltyProgramMember_Referrer_Contact_Name","LastProcessedDate","LoyaltyTierGroupId","TierExpirationDate","LoyaltyProgramMember_LeadOrContactId","LoyaltyMemberCurrency_LoyaltyProgramCurrency_QP_Currency","LoyaltyMemberCurrency_LoyaltyProgramCurrency_NQP_Currency","LoyaltyProgramMember_LoyaltyProgram_Name","LoyaltyProgramMember_MembershipNumber","LoyaltyProgramMember_TransactionJournal_FirstAccrualDate","LoyaltyProgramMember_MemberType","LoyaltyMemberCurrency_LoyaltyProgramMember_Referrer_Contact_Name","LoyaltyProgramMember_AccountContact_Id","Id","LoyaltyProgramMember_ReferredById","EffectiveDate","LoyaltyTier_SequenceNumber"
"Ida Sautner","0lpB00000004CeyIAE","0lgB00000004CdpIAE","Regular","Ida Sautner","2020-04-18",,"No","Active","Platinum","0lMB00000004GNZMA2",,,,,,,"5.9-12 months",,"manual tier change",,"Web",,,"Platinum","Ida Sautner",,"Ida Sautner",,"2021-03-03","0ltB00000004CbbIAE","2021-11-07","003B000000HtW77IAF","Number of Transactions","Nights Stayed","Xplore","235708",,"Individual",,,"0lyB00000004HbPIAU",,"2020-11-07",4
"Ida Sautner","0lpB00000004CeyIAE","0lgB00000004CdqIAE","Lifetime","Ida Sautner","2020-04-18",,"No","Active","Premium","0lMB00000004GNZMA2",,,,,,,"5.9-12 months",,,,"Web",,,"Premium","Ida Sautner",,"Ida Sautner",,"2021-03-03","0ltB00000004CbcIAE",,"003B000000HtW77IAF","Number of Transactions","Nights Stayed","Xplore","235708",,"Individual",,,"0lyB00000004HbQIAU",,,1
"Teesha Meegan","0lpB00000004CeyIAE","0lgB00000004CdpIAE","Regular","Teesha Meegan","2020-03-13",,"No","Active","Platinum","0lMB00000004GNaMAM",,,,,,,"5.9-12 months",,"manual tier change",,"Email",,,"Platinum","Teesha Meegan",,"Teesha Meegan",,"2021-03-03","0ltB00000004CbbIAE","2021-11-07","003B000000HtW79IAF","Number of Transactions","Nights Stayed","Xplore","9346790",,"Individual",,,"0lyB00000004HbRIAU",,"2020-11-07",4
"Teesha Meegan","0lpB00000004CeyIAE","0lgB00000004CdqIAE","Lifetime","Teesha Meegan","2020-03-13",,"No","Active","Premium","0lMB00000004GNaMAM",,,,,,,"5.9-12 months",,,,"Email",,,"Premium","Teesha Meegan",,"Teesha Meegan",,"2021-03-03","0ltB00000004CbcIAE",,"003B000000HtW79IAF","Number of Transactions","Nights Stayed","Xplore","9346790",,"Individual",,,"0lyB00000004HbSIAU",,,1
"Ali Tatlock","0lpB00000004CeyIAE","0lgB00000004CdpIAE","Regular","Ali Tatlock","2020-08-18",,"No","Active","Platinum","0lMB00000004GNbMAM",,,,,,,"3.3-6 months",,"manual tier change",,"Email",,,"Platinum","Ali Tatlock",,"Ali Tatlock",,"2021-03-03","0ltB00000004CbbIAE","2021-11-07","003B000000HtW7AIAV","Number of Transactions","Nights Stayed","Xplore","25346879",,"Individual",,,"0lyB00000004HbTIAU",,"2020-11-07",4
"Ali Tatlock","0lpB00000004CeyIAE","0lgB00000004CdqIAE","Lifetime","Ali Tatlock","2020-08-18",,"No","Active","Premium","0lMB00000004GNbMAM",,,,,,,"3.3-6 months",,,,"Email",,,"Premium","Ali Tatlock",,"Ali Tatlock",,"2021-03-03","0ltB00000004CbcIAE",,"003B000000HtW7AIAV","Number of Transactions","Nights Stayed","Xplore","25346879",,"Individual",,,"0lyB00000004HbUIAU",,,1
"Kelsi Choi","0lpB00000004CeyIAE","0lgB00000004CdpIAE","Regular","Kelsi Choi","2020-05-23",,"No","Active","Platinum","0lMB00000004GNcMAM",,,,,,,"4.6-9 months",,"manual tier change",,"CallCenter",,,"Platinum","Kelsi Choi",,"Kelsi Choi",,"2021-03-03","0ltB00000004CbbIAE","2021-11-07","003B000000HtW7BIAV","Number of Transactions","Nights Stayed","Xplore","3656757",,"Individual",,,"0lyB00000004HbVIAU",,"2020-11-07",4
"Kelsi Choi","0lpB00000004CeyIAE","0lgB00000004CdqIAE","Lifetime","Kelsi Choi","2020-05-23",,"No","Active","Premium","0lMB00000004GNcMAM",,,,,,,"4.6-9 months",,,,"CallCenter",,,"Premium","Kelsi Choi",,"Kelsi Choi",,"2021-03-03","0ltB00000004CbcIAE",,"003B000000HtW7BIAV","Number of Transactions","Nights Stayed","Xplore","3656757",,"Individual",,,"0lyB00000004HbWIAU",,,1
"Tera Ahsan","0lpB00000004CeyIAE","0lgB00000004CdpIAE","Regular","Tera Ahsan","2019-12-31",,"No","Active","Platinum","0lMB00000004GNdMAM",,,,,,,"6.1-2 years",,"downgrade",,"Social",,,"Platinum","Tera Ahsan",,"Tera Ahsan",,"2021-03-03","0ltB00000004CbbIAE","2021-12-09","003B000000HtW7CIAV","Number of Transactions","Nights Stayed","Xplore","3436759","2020-05-15","Individual",,,"0lyB00000004HbXIAU",,"2020-12-10",4
"Tera Ahsan","0lpB00000004CeyIAE","0lgB00000004CdrIAE","Lifetime","Tera Ahsan","2019-12-31",,"No","Active","Ambassador","0lMB00000004GNdMAM",,,,,,,"6.1-2 years",,"manual tier change",,"Social",,,"Ambassador","Tera Ahsan",,"Tera Ahsan",,"2021-03-03","0ltB00000004CbcIAE","2021-05-07","003B000000HtW7CIAV","Number of Transactions","Nights Stayed","Xplore","3436759","2020-05-15","Individual",,,"0lyB00000004HbYIAU",,"2020-11-07",3
