"AccountId","MemberTier.TierGroup.Program.Name","MembershipEndDate","ReferredById","MemberTier.Name","MemberCurrency.Name","Contact_MailingState","MemberTier.LoyaltyTierGroupId","MemberTier.Id","MemberTier.TierGroup.SelectedTierGroup_Flag","MemberTenure","Program.Name","Contact.MailingState","EnrollmentChannel","IsAReferral","Contact_Account.Id","ProgramId","MemberTier.TierGroup.Program.Status","MemberTier.EffectiveDate","Id","MemberName","MemberTier.TierGroup.Name","MemberTier.TierExpirationDate","Contact_MailingCity","MemberTier.LoyaltyMemberId","ContactId","MemberTier.TierGroup.Program.OwnerId","MemberTier.CreatedDate","EnrollmentDate","Contact_City_State","Contact.Birthdate","Account.BillingCity","isTrainingData","Account.BillingState","MemberTier.TierGroup.Program.Id","AccountContactId","Contact.Name","MemberTier.TierGroup.Id","LeadOrContactName","TransactionJournal.Last_Transaction_Activity_Date","MemberTier.TierGroup.LoyaltyProgramId","MemberType","Contact.MailingCity","MemberTier.LoyaltyTierId","LastActivityDate","Account.Name","InactivityFlag","LeadOrContactId","MemberStatus","Contact_Account.Name","MemberCurrency.Ledger.Current_Accrued_Points","Months_in_Tier","MemberCurrency.Ledger.Previous_Redeemed_Points","MemberCurrency.Ledger.Previous_Accrued_Points","Membership_Duration_days","Current_Transaction_Frequency","Transactions.Transaction_Amount_all","Transactions.Transaction_Amount_Previous_Period","Transactions.DaysBetweenCurrentTransactions","Transactions.Transaction_Amount_Current_Period","Member_Count","DaysSinceLastActivity","Previous_Transaction_Frequency","MemberCurrency.Ledger.Current_Expired_Points","MemberCurrency.PointsBalance","Referred.Member_Count","MemberCurrency.Ledger.Previous_Expired_Points","Engagement_Score","Transactions.Accrual_Transactions_Current_Period","InactivityScore","Transactions.DaysBetweenPreviousTransactions","Transactions.Redemption_Transactions_Previous_Period","Transactions.Redemption_Transactions_Current_Period","Contact_Age","MemberCurrency.Ledger.Current_Redeemed_Points","Transactions.Transactions_all","Transactions.Accrual_Transactions_Previous_Period"
,"Xplore",,,"Platinum","Nights Stayed",,"0ltB0000000TN3uIAG","0lyB00000004H2dIAE","Yes","4.6-9 months","Xplore",,"Web","false",,"0lpB0000000TN3zIAG","Active","2020-11-04","0lMB00000004F50MAE","Ida Sautner","Regular","2021-11-04",,"0lMB00000004F50MAE","003B000000HnXAGIA3","005B0000006yDPFIA2","2020-10-21T10:26:29.000Z","2020-04-15",,,,"true",,"0lpB0000000TN3zIAG","003B000000HnXAGIA3","Ida Sautner","0ltB0000000TN3uIAG","Ida Sautner",,"0lpB0000000TN3zIAG","Individual",,"0lgB00000008OKsIAM",,,"false","003B000000HnXAGIA3","Active",,,1,,,236,0,,,,,1,0,0,,0,,,99.7,,0.3,,,,0,,,
,"Xplore",,,"Platinum","Nights Stayed",,"0ltB0000000TN3uIAG","0lyB00000004H2iIAE","Yes","5.9-12 months","Xplore",,"Email","false",,"0lpB0000000TN3zIAG","Active","2020-11-04","0lMB00000004F55MAE","Teesha Meegan","Regular","2021-11-04",,"0lMB00000004F55MAE","003B000000HnXAfIAN","005B0000006yDPFIA2","2020-10-21T10:27:44.000Z","2020-03-10",,,,"true",,"0lpB0000000TN3zIAG","003B000000HnXAfIAN","Teesha Meegan","0ltB0000000TN3uIAG","Teesha Meegan",,"0lpB0000000TN3zIAG","Individual",,"0lgB00000008OKsIAM",,,"false","003B000000HnXAfIAN","Active",,,1,,,272,0,,,,,1,0,0,,0,,,99.7,,0.3,,,,0,,,
,"Xplore",,,"Platinum","Nights Stayed",,"0ltB0000000TN3uIAG","0lyB00000004H2nIAE","Yes","3.3-6 months","Xplore",,"POS","false",,"0lpB0000000TN3zIAG","Active","2020-11-04","0lMB00000004F5AMAU","Ali Tatlock","Regular","2021-11-04",,"0lMB00000004F5AMAU","003B000000HnXAkIAN","005B0000006yDPFIA2","2020-10-21T10:29:33.000Z","2020-08-15",,,,"true",,"0lpB0000000TN3zIAG","003B000000HnXAkIAN","Ali Tatlock","0ltB0000000TN3uIAG","Ali Tatlock",,"0lpB0000000TN3zIAG","Individual",,"0lgB00000008OKsIAM",,,"false","003B000000HnXAkIAN","Active",,,1,,,114,0,,,,,1,0,0,,0,,,99.85,,0.15,,,,0,,,
,"Xplore",,,"Platinum","Nights Stayed",,"0ltB0000000TN3uIAG","0lyB00000004H2sIAE","Yes","4.6-9 months","Xplore",,"CallCenter","false",,"0lpB0000000TN3zIAG","Active","2020-11-04","0lMB00000004F5FMAU","Kelsi Choi","Regular","2021-11-04",,"0lMB00000004F5FMAU","003B000000HnXEcIAN","005B0000006yDPFIA2","2020-10-21T10:30:57.000Z","2020-05-20",,,,"true",,"0lpB0000000TN3zIAG","003B000000HnXEcIAN","Kelsi Choi","0ltB0000000TN3uIAG","Kelsi Choi",,"0lpB0000000TN3zIAG","Individual",,"0lgB00000008OKsIAM",,,"false","003B000000HnXEcIAN","Active",,,1,,,201,0,,,,,1,0,0,,0,,,99.7,,0.3,,,,0,,,
,"Xplore",,,"Platinum","Nights Stayed",,"0ltB0000000TN3uIAG","0lyB00000004H2xIAE","Yes","5.9-12 months","Xplore",,"Social","false",,"0lpB0000000TN3zIAG","Active","2020-12-07","0lMB00000004F5KMAU","Tera Ahsan","Regular","2021-12-06",,"0lMB00000004F5KMAU","003B000000HnXEmIAN","005B0000006yDPFIA2","2020-10-21T10:32:17.000Z","2019-12-28",,,,"true",,"0lpB0000000TN3zIAG","003B000000HnXEmIAN","Tera Ahsan","0ltB0000000TN3uIAG","Tera Ahsan",,"0lpB0000000TN3zIAG","Individual",,"0lgB00000008OKsIAM",,,"false","003B000000HnXEmIAN","Active",,,0,,,345,0,,,,,1,0,0,,0,,,95.94,,4.06,,,,0,,,
,"Xplore",,,"Bronze","Nights Stayed",,"0ltB0000000TN3uIAG","0lyB00000004H32IAE","Yes","5.9-12 months","Xplore",,"Social","false",,"0lpB0000000TN3zIAG","Active",,"0lMB00000004F5PMAU","Billi Towber","Regular",,,"0lMB00000004F5PMAU","003B000000HnXEwIAN","005B0000006yDPFIA2","2020-10-21T10:34:13.000Z","2020-01-15",,,,"true",,"0lpB0000000TN3zIAG","003B000000HnXEwIAN","Billi Towber","0ltB0000000TN3uIAG","Billi Towber","2020-01-20T06:30:00.000Z","0lpB0000000TN3zIAG","Individual",,"0lgB00000008OKpIAM",,,"true","003B000000HnXEwIAN","Active",,,0,,,327,0,1500,0,0,0,1,322,0,,0,,,30.78,0,69.22,0,0,0,0,,1,0
,"Xplore",,,"Bronze","Nights Stayed",,"0ltB0000000TN3uIAG","0lyB0000000TNsKIAW","Yes","9.NA","Xplore",,"POS","false",,"0lpB0000000TN3zIAG","Active",,"0lMB0000000TNU7MAO","Allison Allis","Regular",,,"0lMB0000000TNU7MAO","003B000000HQ1IvIAL","005B0000006yDPFIA2","2020-10-14T07:28:48.000Z","2021-09-24",,,,"true",,"0lpB0000000TN3zIAG","003B000000HQ1IvIAL","Allison Allis","0ltB0000000TN3uIAG","Allison Allis","2022-02-12T00:00:00.000Z","0lpB0000000TN3zIAG","Individual",,"0lgB00000008OKpIAM",,,"false","003B000000HQ1IvIAL","Active",,0,0,0,0,-290,0,32944,0,0,0,1,-431,0,0,37088,1,0,99.95,0,0.05,0,0,0,0,0,33,0
,"Xplore",,,"Bronze","Nights Stayed",,"0ltB0000000TN3uIAG","0lyB0000000TNsMIAW","Yes","9.NA","Xplore",,"Web","false",,"0lpB0000000TN3zIAG","Active",,"0lMB0000000TNU8MAO","Gabriella Allison","Regular",,,"0lMB0000000TNU8MAO","003B000000HQ1JJIA1","005B0000006yDPFIA2","2020-10-14T07:28:48.000Z","2021-05-05",,,,"true",,"0lpB0000000TN3zIAG","003B000000HQ1JJIA1","Gabriella Allison","0ltB0000000TN3uIAG","Gabriella Allison","2021-10-02T00:00:00.000Z","0lpB0000000TN3zIAG","Individual",,"0lgB00000008OKpIAM",,,"false","003B000000HQ1JJIA1","Active",,0,0,0,0,-148,0,29426,0,0,0,1,-298,0,0,35669,1,0,99.94,0,0.06,0,0,0,0,0,33,0
,"Xplore",,,"Bronze","Nights Stayed",,"0ltB0000000TN3uIAG","0lyB0000000TNsOIAW","Yes","9.NA","Xplore",,"Email","false",,"0lpB0000000TN3zIAG","Active",,"0lMB0000000TNU9MAO","Alice Alliston","Regular",,,"0lMB0000000TNU9MAO","003B000000HQ1JIIA1","005B0000006yDPFIA2","2020-10-14T07:28:48.000Z","2021-11-24",,,,"true",,"0lpB0000000TN3zIAG","003B000000HQ1JIIA1","Alice Alliston","0ltB0000000TN3uIAG","Alice Alliston","2022-04-19T00:00:00.000Z","0lpB0000000TN3zIAG","Individual",,"0lgB00000008OKpIAM",,,"false","003B000000HQ1JIIA1","Active",,0,0,0,0,-351,0,28013,0,0,0,1,-497,0,0,37968,1,0,99.95,0,0.05,0,0,0,0,0,33,0
,"Xplore",,,"Bronze","Nights Stayed",,"0ltB0000000TN3uIAG","0lyB0000000TNsQIAW","Yes","9.NA","Xplore",,"Social","false",,"0lpB0000000TN3zIAG","Active",,"0lMB0000000TNUAMA4","Madelyn Allman","Regular",,,"0lMB0000000TNUAMA4","003B000000HQ1JHIA1","005B0000006yDPFIA2","2020-10-14T07:28:48.000Z","2021-03-20",,,,"true",,"0lpB0000000TN3zIAG","003B000000HQ1JHIA1","Madelyn Allman","0ltB0000000TN3uIAG","Madelyn Allman","2021-08-12T00:00:00.000Z","0lpB0000000TN3zIAG","Individual",,"0lgB00000008OKpIAM",,,"false","003B000000HQ1JHIA1","Active",,0,0,0,0,-102,0,30920,0,0,0,1,-247,0,0,38088,1,0,99.93,0,0.07,0,0,0,0,0,33,0
