LastModifiedDate,SurveyVersion_SurveyId,SurveySubject_Survey_Description,SurveySubject_Participant_LoyaltyProgramMember_MemberTenureBucket,SurveyQuestion_QuestionName,Datatype,Name,SurveySubject_SubjectId_CompositeKey,CreatedById,SurveySubject_SurveyId,SurveySubject_Participant_LoyaltyMemberId,SurveyResponse_Status,SurveySubject_LoyaltyProgramTier_LoyaltyProgram_Name,FirstResponseValue,Status,SurveyResponse_Name,SurveyQuestion_QuestionType,IsDeleted,DateTimeValue,SurveySubject_SurveyInvitation_ParticipantId,ChoiceValue,SurveySubject_SubjectEntityType,NPS_Response_Bucket,CreatedDate,Id,SurveySubject_Participant_LoyaltyProgramMember_MembershipNumber,SurveySubject_Participant_LoyaltyProgramMember_MemberName,InvitationId,SurveySubject_Name,SurveySubject_Id,Description,SurveyResponse_CompletionDateTime,ResponseId,IsTrueOrFalse,SurveySubject_SubjectId,CR_Computed_Dummy,OwnerId,DateValue,SurveyQuestion_Name,SurveySubject_LoyaltyProgramTier_Name,SurveyVersion_Name,SurveySubject_LoyaltyProgramTier_LoyaltyProgramCurrency_NQP_Currency,SurveySubject_LoyaltyProgramTier_LoyaltyProgramCurrency_QP_Currency,SurveySubject_Participant_LoyaltyProgramMember_EnrollmentChannel,LastProcessedDate,SurveySubject_LoyaltyProgramTier_LoyaltyTierGroup_Name,Rank,QuestionChoiceId,SurveySubject_Survey_SurveyType,SystemModstamp,SurveySubject_Survey_Name,SurveySubject_Participant_LoyaltyProgramMember_MemberType,QuestionId,SurveyVersionId,LastModifiedById,SurveySubject_Participant_LoyaltyProgramMember_IsReferral,ResponseShortText,ResponseValue,SurveyVersion_VersionNumber,QuestionChoice_MaxValueString,NumberValue,QuestionChoice_MaxValue,Scale
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVJRIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Mae Anand,NPS,FALSE,,003B000000HtVJRIA3,,LoyaltyProgram,Detractors,2021-01-18,0KrB00000005AViKAM,,,0KiB00000000XMkKAM,surveyLyInv_org4_jan_pma_1_127,0VkB0000000PKutKAG,,2021-01-05,0MyB0000000D9M7KAK,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dssKAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,9,9,1,10,9,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVKRIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Fernanda Amorello,NPS,FALSE,,003B000000HtVKRIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AVoKAM,,,0KiB00000000XNkKAM,surveyLyInv_org4_jan_pma_1_189,0VkB0000000PKvtKAG,,2021-02-05,0MyB0000000D9M8KAK,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dt7KAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,5,5,1,10,5,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVKPIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Elianna Amoriello,NPS,FALSE,,003B000000HtVKPIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AVuKAM,,,0KiB00000000XNiKAM,surveyLyInv_org4_jan_pma_1_187,0VkB0000000PKvrKAG,,2020-03-05,0MyB0000000D9M9KAK,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dt7KAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,5,5,1,10,5,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVKQIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Oaklyn Amores,NPS,FALSE,,003B000000HtVKQIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AW0KAM,,,0KiB00000000XNjKAM,surveyLyInv_org4_jan_pma_1_188,0VkB0000000PKvsKAG,,2020-04-05,0MyB0000000D9MAKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dsqKAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,2,2,1,10,2,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVKOIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Hattie Amorim,NPS,FALSE,,003B000000HtVKOIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AW6KAM,,,0KiB00000000XNhKAM,surveyLyInv_org4_jan_pma_1_186,0VkB0000000PKvqKAG,,2020-05-05,0MyB0000000D9MBKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dszKAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,4,4,1,10,4,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVKNIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Dayana Amorin,NPS,FALSE,,003B000000HtVKNIA3,,LoyaltyProgram,Detractors,2021-01-18,0KrB00000005AWCKA2,,,0KiB00000000XNgKAM,surveyLyInv_org4_jan_pma_1_185,0VkB0000000PKvpKAG,,2020-06-05,0MyB0000000D9MCKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dt9KAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,10,10,1,10,10,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVKMIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Kendra Amormino,NPS,FALSE,,003B000000HtVKMIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AWIKA2,,,0KiB00000000XNfKAM,surveyLyInv_org4_jan_pma_1_184,0VkB0000000PKvoKAG,,2020-07-05,0MyB0000000D9MDKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dsqKAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,2,2,1,10,2,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVKLIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Maisie Amoros,NPS,FALSE,,003B000000HtVKLIA3,,LoyaltyProgram,Passives,2021-01-18,0KrB00000005AWOKA2,,,0KiB00000000XNeKAM,surveyLyInv_org4_jan_pma_1_183,0VkB0000000PKvnKAG,,2020-08-05,0MyB0000000D9MEKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dt4KAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,7,7,1,10,7,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVKKIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Malaysia Amorose,NPS,FALSE,,003B000000HtVKKIA3,,LoyaltyProgram,Detractors,2021-01-18,0KrB00000005AWUKA2,,,0KiB00000000XNdKAM,surveyLyInv_org4_jan_pma_1_182,0VkB0000000PKvmKAG,,2020-09-05,0MyB0000000D9MFKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dssKAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,9,9,1,10,9,10,5
2021-01-18,0KdB00000000R6XKAU,,,How satisfied are you with the resolution provided by our service representative?,Number,,0lpB00000004CexIAE003B000000HtVKJIA3,005B0000007PfKJIA0,0KdB00000000R6XKAU,,Completed,Distributor Loyalty Program,,,Kara Amorosi,NPS,FALSE,,003B000000HtVKJIA3,,LoyaltyProgram,Promoters,2021-01-18,0KrB00000005AWaKAM,,,0KiB00000000XNcKAM,surveyLyInv_org4_jan_pma_1_181,0VkB0000000PKvlKAG,,2020-10-05,0MyB0000000D9MGKA0,FALSE,0lpB00000004CexIAE,,,,How satisfied are you with the resolution provided by our service representative?,,Survey_Loyalty_NpsCsCsat_02,Alpoints,,,2021-03-03,Status Tier Group,,0KcB00000000dt7KAA,Survey,2021-01-18,Survey_Loyalty_NpsCsCsat_02,,0KuB00000000VBZKA2,0KsB00000000RPZKA2,005B0000007PfKJIA0,,5,5,1,10,5,10,5
