OperationalDrivers,ClaimsBucket,PreviousRenewalDate,NameInsuredId,Status,TypePrediction,LastProcessedDate,RenewalChannel,RenewalDate,Type,IsRenewedPolicy,ExpirationDate,EffectiveDate,PremiumAmount,Passive,RenewalRate,Rating,Name,NPS,Promoter,Detractor,OwnerId,MyContactCenterNPS,PredictedDistribution,CustomerEngagement,NumberOfClaims,Commit,BestCase,GrossWrittenPremium,ValuePrediction,NPS_All_Contact_Centers,TotalStandardAmount
Agent Comunication,4 - 5 Claims,,Brian,Not Renewed,Amount,2021-04-26,,2022-04-13,New Business,FALSE,2022-04-14,2021-04-14,61000,,88,7.1,2623750899063,39,,,1234567,37,58,15,7,88,,656000,6,39,20000
Agent Experience,6 or More Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2022-03-28,Existing Business,FALSE,2022-03-29,2021-03-29,74000,,88,6.5,19292481858134,43,,,1234567,38,25,16,6,,,814000,18,42,26000
Employee Satisfaction,2 - 3 Claims,,John,For Renewal,Period,2021-04-26,,2021-11-17,Services,FALSE,2021-11-18,2020-11-18,73000,,80,8.2,6216519622678,41,,,1234567,39,12,19,3,,,992000,9,41,90000
Wait Time,0 - 1 Claims,,Mary,For Renewal,NumberOfClaims,2021-04-26,,2022-05-25,Services,FALSE,2022-05-26,2021-05-26,59000,55,79,6.5,19982565305245,39,95,15,1234567,39,95,17,1,71.89,85.32,737000,23,39,100000
Agent Comunication,6 or More Claims,,Steven,For Renewal,NPS,2021-04-26,,2022-02-23,New Business,FALSE,2022-02-24,2021-02-24,80000,,90,7.4,3285806459284,43,,,1234567,38,70,19,7,,,913000,32,42,48000
Wait Time,4 - 5 Claims,,Mary,For Renewal,TimeToResolve,2021-04-26,,2022-01-01,Existing Business,FALSE,2022-01-02,2021-01-02,71000,,88,8.1,5414933187635,43,,,1234567,40,95,17,5,,,970000,18,42,10000
Employee Satisfaction,4 - 5 Claims,,Steven,For Renewal,NumberOfClaims,2021-04-26,,2022-07-14,Existing Business,FALSE,2022-07-15,2021-07-15,43000,58,65,6.9,16960140417728,41,95,12,1234567,37,58,18,4,,70.2,532000,23,42,99000
Agent Experience,0 - 1 Claims,,Brian,For Renewal,Period,2021-04-26,,2022-06-03,Services,FALSE,2022-06-04,2021-06-04,35000,58,74,7.8,14984959161335,43,90,25,1234567,38,95,19,1,67.34,,627000,9,41,20000
Employee Satisfaction,6 or More Claims,,John,For Renewal,Amount,2021-04-26,,2021-12-07,New Business,FALSE,2021-12-08,2020-12-08,79000,,85,7.8,16265050672642,43.5,,,1234567,41,55,20,6,,,992000,6,43,100000
Agent Experience,2 - 3 Claims,,Carl,Not Renewed,NPS,2021-04-26,,2021-10-04,Existing Business,FALSE,2021-10-05,2020-10-05,36000,,74,7.6,15860564291625,43.5,,,1234567,40,15,17,3,,,945000,32,43,11000
Wait Time,6 or More Claims,,Steven,For Renewal,Amount,2021-04-26,,2022-04-02,Services,FALSE,2022-04-03,2021-04-03,82000,,88,8.6,9214946864524,39,,,1234567,37,75,19,6,88,,897000,6,39,32000
Agent Comunication,2 - 3 Claims,,Carl,For Renewal,Period,2021-04-26,,2021-11-13,New Business,FALSE,2021-11-14,2020-11-14,24000,,80,7.8,1738464680126,41,,,1234567,39,25,18,2,,,540000,9,41,25000
Agent Comunication,2 - 3 Claims,,Mary,For Renewal,NPS,2021-04-26,,2022-03-04,New Business,FALSE,2022-03-05,2021-03-05,31000,,86,7.1,15954734033331,43,,,1234567,38,95,16,2,,,469000,32,42,39000
Employee Satisfaction,0 - 1 Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2022-07-12,Existing Business,FALSE,2022-07-13,2021-07-13,81000,58,65,8.2,13965097283655,43.5,95,12,1234567,41,95,19,1,,70.2,424000,23,39,45000
Agent Experience,4 - 5 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2021-12-05,Services,FALSE,2021-12-06,2020-12-06,41000,,85,6.9,19220217004920,43.5,,,1234567,41,55,18,4,,,653000,18,43,15000
Wait Time,2 - 3 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2022-02-07,New Business,FALSE,2022-02-08,2021-02-08,52000,,90,8.5,17736368445377,43,,,1234567,38,70,16,2,,,767000,18,42,99000
Agent Comunication,2 - 3 Claims,,Carl,For Renewal,NumberOfClaims,2021-04-26,,2022-06-01,Existing Business,FALSE,2022-06-02,2021-06-02,54000,58,74,8.4,9238903926521,43,90,25,1234567,38,70,15,2,,,716000,23,41,20000
Employee Satisfaction,6 or More Claims,,Mary,Not Renewed,Amount,2021-04-26,,2021-10-14,Services,FALSE,2021-10-15,2020-10-15,23000,,80,7.5,2654152372694,41,,,1234567,39,12,15,7,,,650000,6,42,72000
Agent Experience,2 - 3 Claims,,Steven,For Renewal,NPS,2021-04-26,,2022-01-26,Services,FALSE,2022-01-27,2021-01-27,97000,,88,6.9,5353922467756,43,,,1234567,40,58,20,3,,,939000,32,42,97000
Wait Time,2 - 3 Claims,,John,For Renewal,Period,2021-04-26,,2022-05-22,Existing Business,FALSE,2022-05-23,2021-05-23,36000,55,79,8.5,1590585065006,39,95,15,1234567,40,75,18,2,71.89,,774000,9,43,92000
Employee Satisfaction,4 - 5 Claims,,Carl,For Renewal,TimeToResolve,2021-04-26,,2022-04-24,New Business,FALSE,2022-04-25,2021-04-25,65000,,88,7.2,920320486268,39,,,1234567,37,75,16,7,88,88,902000,18,39,11000
Wait Time,4 - 5 Claims,,Steven,For Renewal,Amount,2021-04-26,,2022-07-29,New Business,FALSE,2022-07-30,2021-07-30,40000,58,65,7.4,15102943438252,39,95,12,1234567,37,58,20,4,59.15,70.2,870000,6,41,36000
Agent Comunication,2 - 3 Claims,,Mary,For Renewal,NumberOfClaims,2021-04-26,,2022-01-04,Services,FALSE,2022-01-05,2021-01-05,85000,,88,7.6,6467044115588,43,,,1234567,40,15,18,2,,,627000,23,42,45000
Agent Experience,4 - 5 Claims,,Brian,For Renewal,Period,2021-04-26,,2021-11-03,Existing Business,FALSE,2021-11-04,2020-11-04,96000,,80,7,13525494626185,41,,,1234567,39,15,15,5,,,587000,9,41,19000
Employee Satisfaction,6 or More Claims,,John,For Renewal,NPS,2021-04-26,,2022-06-10,Services,FALSE,2022-06-11,2021-06-11,40000,58,74,8.1,15422583536325,43,90,25,1234567,41,25,17,6,67.34,79.92,402000,32,42,75000
Agent Experience,2 - 3 Claims,,Mary,For Renewal,Period,2021-04-26,,2022-02-03,New Business,FALSE,2022-02-04,2021-02-04,28000,,90,6.7,3142339251211,43,,,1234567,38,58,17,2,,,744000,9,42,98000
Wait Time,0 - 1 Claims,,Steven,Not Renewed,NPS,2021-04-26,,2021-10-07,Existing Business,FALSE,2021-10-08,2020-10-08,30000,,90,7,19881772298689,43.5,,,1234567,40,95,19,1,,,716000,32,39,67000
Agent Comunication,4 - 5 Claims,,Carl,For Renewal,NumberOfClaims,2021-04-26,,2022-05-21,New Business,FALSE,2022-05-22,2021-05-22,29000,55,79,7.2,19083318288801,41,95,15,1234567,38,55,20,4,71.89,85.32,669000,23,43,69000
Agent Comunication,0 - 1 Claims,,Brian,For Renewal,TimeToResolve,2021-04-26,,2021-12-19,Existing Business,FALSE,2021-12-20,2020-12-20,19000,,85,7.6,15913166330936,43.5,,,1234567,41,55,15,1,,,822000,18,43,75000
Employee Satisfaction,4 - 5 Claims,,John,For Renewal,Amount,2021-04-26,,2022-03-03,Services,FALSE,2022-03-04,2021-03-04,14000,,88,7.4,16943420284765,43,,,1234567,38,75,20,5,,,519000,6,42,32000
Wait Time,0 - 1 Claims,,Brian,For Renewal,NumberOfClaims,2021-04-26,,2022-07-09,New Business,FALSE,2022-07-10,2021-07-10,56000,58,65,6.7,9877895965210,43,95,12,1234567,41,95,15,1,59.15,,662000,23,41,31000
Agent Experience,6 or More Claims,,Steven,For Renewal,Period,2021-04-26,,2021-12-05,Services,FALSE,2021-12-06,2020-12-06,98000,,85,6.9,7941985159709,43.5,,,1234567,41,70,20,7,,,844000,9,43,90000
Wait Time,0 - 1 Claims,,Carl,For Renewal,Amount,2021-04-26,,2022-03-08,Existing Business,FALSE,2022-04-09,2021-04-09,29000,,88,8.4,5843777932887,43,,,1234567,38,25,17,4,,,932000,6,42,13000
Employee Satisfaction,2 - 3 Claims,,John,For Renewal,TimeToResolve,2021-04-26,,2021-11-01,Existing Business,FALSE,2021-11-02,2020-11-02,31000,,80,8.2,6718731146595,41,,,1234567,39,12,18,2,,,620000,18,41,55000
Agent Comunication,2 - 3 Claims,,Mary,Not Renewed,NPS,2021-04-26,,2022-01-19,New Business,FALSE,2022-01-20,2021-01-20,33000,,88,7.6,16514460606338,43,,,1234567,40,75,18,3,,,602000,32,42,87000
Agent Experience,4 - 5 Claims,,Brian,For Renewal,Amount,2021-04-26,,2021-10-28,Services,FALSE,2021-10-29,2020-10-29,40000,,65,6.3,8744516216479,39,,,1234567,37,15,16,4,,,725000,6,39,19000
Agent Comunication,2 - 3 Claims,,Carl,For Renewal,NPS,2021-04-26,,2022-05-18,New Business,FALSE,2022-05-19,2021-05-19,51000,55,79,7.1,12652913755963,41,95,15,1234567,39,75,18,2,,,528000,32,43,24000
Wait Time,2 - 3 Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2022-04-01,Existing Business,FALSE,2022-04-02,2021-04-02,36000,,88,8.6,3055062017919,39,,,1234567,37,55,17,5,,,687000,23,39,18000
Employee Satisfaction,0 - 1 Claims,,Steven,For Renewal,Period,2021-04-26,,2022-06-26,Services,FALSE,2022-06-27,2021-06-27,20000,58,74,7.2,14876346048044,43.5,90,25,1234567,37,95,17,1,,79.92,610000,9,42,42000
Agent Experience,2 - 3 Claims,,Mary,For Renewal,TimeToResolve,2021-04-26,,2022-02-18,New Business,FALSE,2022-02-19,2021-02-19,20000,,90,6.7,2095758408373,43,,,1234567,38,12,19,3,,,660000,18,42,88000
Employee Satisfaction,0 - 1 Claims,,John,For Renewal,NumberOfClaims,2021-04-26,,2022-07-15,Existing Business,FALSE,2022-07-16,2021-07-16,46000,58,65,8.6,2619274918898,41,95,12,1234567,41,95,19,1,59.15,70.2,527000,23,39,98000
Agent Experience,0 - 1 Claims,,Steven,For Renewal,Period,2021-04-26,,2021-10-11,Services,FALSE,2021-10-12,2020-10-12,66000,,88,8.2,11513093741995,43,,,1234567,38,25,16,1,,,652000,9,41,97000
Wait Time,6 or More Claims,,Mary,Not Renewed,NPS,2021-04-26,,2021-12-20,Services,FALSE,2021-12-21,2020-12-21,58000,,85,8.1,9614997097611,43.5,,,1234567,41,70,18,6,,,742000,32,43,71000
