"Type","AgeBucket","FirstName","State","Channel","Stage","Gender","LastName","ChannelOrder","AgeBucketOrder","StageOrder","Age"
"Detractor","18-25","Gabi","Louisiana","Call Center","Onboarding","NA","McIlherran",3,2,2,45
"Promoter","NA","Carlynne","Maryland","Website","Acquisition","Female","Abreheart",1,5,1,16
"Passive","36-50","Elke","Kentucky","Store","Claims","Male","Fasham",4,4,3,79
"Detractor","0-17","Celka","Minnesota","Email","Routine Services","Female","Deamer",6,1,4,68
"Passive","26-35","Raffaello","North Carolina","App","Claims","NA","Ledley",2,3,3,55
"Promoter","26-35","Eachelle","South Carolina","Call Center","Renewal","Male","Royce",3,3,5,78
"Detractor","36-50","Wells","Indiana","App","Onboarding","Female","Klicher",2,4,2,24
"Passive","26-35","Jillene","Connecticut","Chat","Renewal","NA","Worgen",5,3,5,43
"Promoter","18-25","Alvina","Tennessee","Website","Routine Services","Male","Pearle",1,2,4,64
"Detractor","36-50","Nikola","Rhode Island","Call Center","Acquisition","Female","Benz",3,4,1,14
"Passive","18-25","Cecil","New York","Website","Claims","NA","Brookfield",1,2,3,40
"Detractor","18-25","Carlyn","Montana","App","Claims","Male","Rehme",2,2,3,27
"Promoter","26-35","Jenica","New Jersey","Call Center","Renewal","Female","Sargant",3,3,5,37
"Detractor","0-17","Aeriel","Florida","Chat","Renewal","Male","Block",5,1,5,47
"Passive","NA","Wendall","Georgia","App","Routine Services","NA","Bamborough",2,5,4,26
"Promoter","36-50","Gale","Missouri","Call Center","Onboarding","Female","Pickover",3,4,2,44
"Detractor","18-25","Ky","South Dakota","App","Claims","NA","Messent",2,2,3,18
"Promoter","26-35","Corinna","New Hampshire","Website","Acquisition","Male","Vanni",1,3,1,20
"Passive","18-25","Alfred","New Mexico","App","Onboarding","Female","Nerney",2,2,2,21
"Detractor","26-35","Martguerita","Utah","Website","Claims","NA","Gatrill",1,3,3,17
"Passive","26-35","Welby","Illinois","Call Center","Renewal","Male","Asche",3,3,5,61
"Detractor","36-50","Mercie","Mississippi","Chat","Acquisition","Female","Sevitt",5,4,1,56
"Promoter","0-17","Connie","Texas","Store","Renewal","NA","Paddington",4,1,5,54
"Passive","36-50","Claybourne","Texas","App","Routine Services","Male","Lehon",2,4,4,46
"Detractor","18-25","Cynthea","District of Columbia","Website","Onboarding","Female","Raynard",1,2,2,51
"Promoter","26-35","Cassaundra","Florida","Website","Acquisition","NA","Adao",1,3,1,48
"Detractor","18-25","Amelina","Arkansas","Call Center","Renewal","Male","Riolfi",3,2,5,41
"Promoter","36-50","Alford","Alabama","Email","Claims","Female","Chatwin",6,4,3,18
"Passive","18-25","Martino","Pennsylvania","App","Routine Services","Male","Coldridge",2,2,4,60
"Detractor","26-35","Onfroi","California","Website","Onboarding","NA","Noades",1,3,2,71
"Passive","NA","Ronnie","Wisconsin","Chat","Acquisition","Female","Ramelet",5,5,1,30
"Promoter","26-35","Skell","Wyoming","App","Renewal","Male","Aldcorne",2,3,5,66
"Detractor","18-25","Jereme","Kansas","Call Center","Claims","NA","Cronchey",3,2,3,27
"Passive","26-35","Roberto","Nebraska","App","Claims","Female","Toop",2,3,3,77
"Promoter","36-50","Sammy","Massachusetts","Call Center","Onboarding","NA","Waterstone",3,4,2,80
"Detractor","36-50","Roxi","Virginia","Call Center","Routine Services","Male","Brantl",3,4,4,13
"Passive","18-25","Farlay","Pennsylvania","Website","Renewal","Female","Cissen",1,2,5,11
"Promoter","0-17","Ernestus","Michigan","Chat","Claims","Male","Dayce",5,1,3,70
"Detractor","18-25","Elsey","Maine","App","Claims","NA","Rames",2,2,3,53
"Passive","26-35","Cass","Hawaii","Call Center","Renewal","Female","Gillion",3,3,5,22
"Promoter","36-50","Flory","West Virginia","App","Onboarding","Male","Mingaud",2,4,2,28
"Detractor","26-35","Cathleen","District of Columbia","Call Center","Claims","NA","Cummins",3,3,3,69
"Passive","NA","Stoddard","New York","Email","Acquisition","Female","Raper",6,5,1,63
"Detractor","26-35","Trumaine","Florida","Store","Routine Services","Male","Allaway",4,3,4,34
"Promoter","0-17","Kennan","Iowa","Website","Renewal","NA","Naisbet",1,1,5,74
"Passive","36-50","Rubetta","Vermont","Call Center","Acquisition","Female","Longthorne",3,4,1,34
"Detractor","18-25","Werner","Idaho","Chat","Onboarding","NA","Mitchenson",5,2,2,72
