"SmallPhotoUrl","Name","NPS","HandledWithinSLA","VsLastQuarter","PredictedNPS"
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Z4/T","Arlo Snider",8,78,-5,-32
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Xy/T","Kaylee Byers",9,91,9,47
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1ZI/T","Mohsin Hodgson",7,79,-8,-29
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y0000003XbI/T","Cindy Miller",8,96,8,58
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y7/T","Ana Stranton",6,69,-5,-47
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y0000003XbX/T","Iman Redman",7,71,-9,-35
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y0000003XbS/T","Beatriz Lancaster",7,72,-7,-33
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y8/T","Marcel Couch",8,92,8,50
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y0000003XbN/T","Lewys Whitley",8,92,10,40
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1aR/T","Cali Bolton",7,64,-6,-44
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y0000003XbD/T","Chris Stewart",8,93,7,43
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Xy/T","Kaylee Byers",8,91,8,40
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y0000003XbI/T","Cindy Miller",8,96,6,58
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1ZI/T","Mohsin Hodgson",7,79,-5,-46
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y7/T","Ana Stranton",6,69,-10,-47
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y0000003XbX/T","Iman Redman",7,71,-11,-27
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Z4/T","Arlo Snider",7,78,-7,-40
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y0000003XbS/T","Beatriz Lancaster",7,72,-8,-43
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1aR/T","Cali Bolton",6,64,-11,-35
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y8/T","Marcel Couch",8,92,5,42
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y0000003XbN/T","Lewys Whitley",8,92,5,45
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y0000003XbD/T","Chris Stewart",8,93,8,41
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y0000003XbD/T","Chris Stewart",8,93,10,42
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Xy/T","Kaylee Byers",8,91,5,41
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1ZI/T","Mohsin Hodgson",7,79,-5,-26
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y0000003XbI/T","Cindy Miller",8,96,10,58
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y8/T","Marcel Couch",8,92,5,47
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y0000003XbN/T","Lewys Whitley",9,92,7,45
"https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Z4/T","Arlo Snider",7,78,-12,-42
