"EmployeeSatisfaction","SmallPhotoUrl","EmployeeType","Name","AgentCommunication","WaitTime","AgentExperience","Order","HandledWithinSLA","VsLastQuarter","NPS","PredictedNPS","NroOfClaimsHandled"
"🔴 Employee Satisfaction (-8%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Employee","Kaylee Byers","🔴 Agent Communication (-18%)","🔴 Wait Time (-27%)","🟢 Agent Experience (+27%) ",5,91,6,8,49,102
"🔴 Employee Satisfaction (-2%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Contractor","Cali Bolton","🔴 Agent Communication (-18%)","🔴 Wait Time (-4%)","  ",11,64,-12,7,-33,54
"🔴 Employee Satisfaction (-8%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Contractor","Beatriz Lancaster","🔴 Agent Communication (-18%)","🔴 Wait Time (-4%)","  ",8,72,-11,7,-30,68
"🔴 Employee Satisfaction (-2%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Employee","Marcel Couch","🟢 Agent Communication (+18%)","🔴 Wait Time (-27%)","🟢 Agent Experience (+27%) ",3,92,6,9,43,94
"🔴 Employee Satisfaction (-2%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Top Performer","Cindy Miller ","🟢 Agent Communication (+18%)","🔴 Wait Time (-4%)","🟢 Agent Experience (+27%) ",1,96,6,8,58,124
"🔴 Employee Satisfaction (-8%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Contractor","Mohsin Hodgson","🔴 Agent Communication (-18%)","🔴 Wait Time (-27%)","  ",6,79,-5,8,-28,65
"🔴 Employee Satisfaction (-2%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Employee","Chris Stewart","🟢 Agent Communication (+18%)","🔴 Wait Time (-4%)","🟢 Agent Experience (+27%) ",2,93,9,8,42,88
"🔴 Employee Satisfaction (-2%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Contractor","Iman Redman","🔴 Agent Communication (-18%)","🔴 Wait Time (-4%)","🟢 Agent Experience (+27%) ",9,71,-6,7,-38,75
"🔴 Employee Satisfaction (-8%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Contractor","Ana Stranton","🔴 Agent Communication (-18%)","🔴 Wait Time (-27%)","  ",10,69,-11,6,-47,72
"🔴 Employee Satisfaction (-8%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Employee","Lewys Whitley","🔴 Agent Communication (-18%)","🔴 Wait Time (-27%)","🟢 Agent Experience (+27%) ",4,92,10,8,43,90
"🔴 Employee Satisfaction (-8%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Contractor","Arlo Snider","🔴 Agent Communication (-18%)","🔴 Wait Time (-4%)","  ",7,78,-6,7,-35,75
"🔴 Employee Satisfaction (-2%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Employee","Marcel Couch","🟢 Agent Communication (+18%)","🔴 Wait Time (-27%)","🟢 Agent Experience (+27%) ",3,92,5,9,44,94
"🔴 Employee Satisfaction (-2%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Contractor","Mohsin Hodgson","🔴 Agent Communication (-18%)","🔴 Wait Time (-4%)","  ",6,79,-7,7,-34,65
"🔴 Employee Satisfaction (-2%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Top Performer","Cindy Miller ","🟢 Agent Communication (+18%)","🔴 Wait Time (-4%)","🟢 Agent Experience (+27%) ",1,96,6,9,58,124
"🔴 Employee Satisfaction (-8%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Employee","Chris Stewart","🟢 Agent Communication (+18%)","🔴 Wait Time (-27%)","🟢 Agent Experience (+27%) ",2,93,5,8,48,88
"🔴 Employee Satisfaction (-8%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Contractor","Cali Bolton","🔴 Agent Communication (-18%)","🔴 Wait Time (-4%)","  ",11,64,-7,6,-46,54
"🔴 Employee Satisfaction (-2%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Employee","Lewys Whitley","🔴 Agent Communication (-18%)","🔴 Wait Time (-27%)","🟢 Agent Experience (+27%) ",4,92,8,8,45,90
"🔴 Employee Satisfaction (-2%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Contractor","Arlo Snider","🔴 Agent Communication (-18%)","🔴 Wait Time (-27%)","  ",7,78,-5,7,-43,75
"🔴 Employee Satisfaction (-8%)","https://juanferrei-20210324-demo--c.documentforce.com/profilephoto/7295Y000001N1Y6/T","Contractor","Ana Stranton","🔴 Agent Communication (-18%)","🔴 Wait Time (-27%)","  ",10,69,-7,6,-47,72
